GSM6325721	A001C007
GSM6325722	A001C011
GSM6325724	A001C013
GSM6325725	A001C019
GSM6325727	A002C001
GSM6325728	A002C002
GSM6325729	A002C006
GSM6325731	A002C010
GSM6325732	A002C013
GSM6325734	A002C122
GSM6325735	A002C212
GSM6325736	A014C012
GSM6325738	A014C040
GSM6325739	A014C041
GSM6325740	A014C046
GSM6325742	A014C053
GSM6325743	A014C054
GSM6325745	A015C004
GSM6325746	A015C010
GSM6325747	CRC15157
GSM6325749	CRC19779
GSM6325750	CRC25135
GSM6325752	CRC26616
GSM6325753	CRC8396
