avgGenomicDist	contactProbability	standardError	noOfLocusPairs	totalOfContactCounts
20000	1.19e-07	0.00e+00	308789	4332410
30000	7.32e-08	0.00e+00	308765	2673546
44999	4.84e-08	0.00e+00	617458	3539465
64999	3.35e-08	0.00e+00	617362	2449435
89999	2.51e-08	0.00e+00	925863	2745247
124999	1.93e-08	0.00e+00	1234148	2819238
164999	1.61e-08	0.00e+00	1233764	2352782
209998	1.42e-08	0.00e+00	1541665	2584217
259998	1.29e-08	0.00e+00	1541065	2355218
314997	1.21e-08	0.00e+00	1848486	2636508
374997	1.14e-08	0.00e+00	1847622	2486870
434997	1.09e-08	0.00e+00	1846758	2371363
494997	1.05e-08	0.00e+00	1845894	2283626
559996	1.01e-08	0.00e+00	2152451	2561421
629996	9.71e-09	0.00e+00	2151275	2472121
699996	9.38e-09	0.00e+00	2150099	2386287
769996	9.08e-09	0.00e+00	2148923	2309547
839996	8.82e-09	0.00e+00	2147747	2240290
914995	8.53e-09	0.00e+00	2453128	2475047
994995	8.26e-09	0.00e+00	2451592	2396072
1074995	8.01e-09	0.00e+00	2450056	2322571
1154995	7.76e-09	0.00e+00	2448520	2249137
1239994	7.51e-09	0.00e+00	2752749	2446351
1329994	7.25e-09	0.00e+00	2750805	2359631
1419994	7.01e-09	0.00e+00	2748861	2280834
1509994	6.80e-09	0.00e+00	2746917	2210228
1604993	6.57e-09	0.00e+00	3049850	2369878
1704993	6.34e-09	0.00e+00	3047450	2284375
1804993	6.12e-09	0.00e+00	3045050	2206069
1909992	5.91e-09	0.00e+00	3346783	2339044
2019992	5.69e-09	0.00e+00	3343879	2251258
2129992	5.48e-09	0.00e+00	3340975	2167818
2244990	5.27e-09	0.00e+00	3641388	2272347
2364990	5.08e-09	0.00e+00	3637932	2187938
2489988	4.89e-09	0.00e+00	3937193	2276101
2619988	4.70e-09	0.00e+00	3933137	2187186
2749988	4.53e-09	0.00e+00	3929081	2103850
2884987	4.35e-09	0.00e+00	4226782	2177786
3024987	4.20e-09	0.00e+00	4222078	2098189
3169985	4.04e-09	0.00e+00	4518435	2161050
3324983	3.89e-09	0.00e+00	4813712	2215826
3484983	3.76e-09	0.00e+00	4807568	2139176
3649980	3.63e-09	0.00e+00	5101309	2188199
3819980	3.50e-09	0.00e+00	5094373	2109607
3989980	3.39e-09	0.00e+00	5087437	2040530
4164978	3.29e-09	0.00e+00	5379138	2093750
4344978	3.20e-09	0.00e+00	5371362	2030943
4529975	3.11e-09	0.00e+00	5661335	2080819
4719975	3.03e-09	0.00e+00	5652671	2025288
4909975	2.95e-09	0.00e+00	5644007	1971161
