"","Sample","downloaded","mapped","asked","circ","path","Type","Cellline","OncotreeLineage","is_ecDNA"
"1318","ENCSR676KGV_ChIP-seq_Input_A549_SRX11161862",1,1,1,1,"/cluster/home/WeiNa/project/ecDNA/result/ENCODE_Input/encode/ENCSR676KGV_ChIP-seq_Input_A549_SRX11161862","Input","A549","Lung","1"
"1319","ENCSR899URK_ChIP-seq_Input_K562_SRX10476789",1,1,1,1,"/cluster/home/WeiNa/project/ecDNA/result/ENCODE_Input/encode/ENCSR899URK_ChIP-seq_Input_K562_SRX10476789","Input","K562","Myeloid","1"
"1320","ENCSR816YLP_ChIP-seq_Input_K562_SRX11169191",1,1,1,1,"/cluster/home/WeiNa/project/ecDNA/result/ENCODE_Input/encode/ENCSR816YLP_ChIP-seq_Input_K562_SRX11169191","Input","K562","Myeloid","1"
"1321","ENCSR957URO_ChIP-seq_Input_A549_SRX10478332",1,1,1,1,"/cluster/home/WeiNa/project/ecDNA/result/ENCODE_Input/encode/ENCSR957URO_ChIP-seq_Input_A549_SRX10478332","Input","A549","Lung","1"
"1322","ENCSR712UUA_ChIP-seq_Input_K562_SRX10475046",1,1,1,1,"/cluster/home/WeiNa/project/ecDNA/result/ENCODE_Input/encode/ENCSR712UUA_ChIP-seq_Input_K562_SRX10475046","Input","K562","Myeloid","1"
"1323","ENCSR000SND_ChIP-seq_Input_SK-N-SH_SRX16495310",1,1,1,1,"/cluster/home/WeiNa/project/ecDNA/result/ENCODE_Input/encode/ENCSR000SND_ChIP-seq_Input_SK-N-SH_SRX16495310","Input","SKNSH","Peripheral Nervous System","1"
"1324","ENCSR293CYB_ChIP-seq_Input_K562_SRX16500274",1,1,1,1,"/cluster/home/WeiNa/project/ecDNA/result/ENCODE_Input/encode/ENCSR293CYB_ChIP-seq_Input_K562_SRX16500274","Input","K562","Myeloid","1"
"1325","ENCSR734XLI_ChIP-seq_Input_MCF-7_SRX10475176",1,1,1,1,"/cluster/home/WeiNa/project/ecDNA/result/ENCODE_Input/encode/ENCSR734XLI_ChIP-seq_Input_MCF-7_SRX10475176","Input","MCF7","Breast","1"
"1326","ENCSR032KPU_ChIP-seq_Input_K562_SRX10475179",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ENCODE_Input/encode/ENCSR032KPU_ChIP-seq_Input_K562_SRX10475179","Input","K562","Myeloid","0"
"1327","ENCSR545RWZ_ChIP-seq_Input_HepG2_SRX3322561",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ENCODE_Input/encode/ENCSR545RWZ_ChIP-seq_Input_HepG2_SRX3322561","Input","HEPG2","Liver","0"
"1328","ENCSR545RWZ_ChIP-seq_Input_HepG2_SRX3322562",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ENCODE_Input/encode/ENCSR545RWZ_ChIP-seq_Input_HepG2_SRX3322562","Input","HEPG2","Liver","0"
"1329","ENCSR850KFE_ChIP-seq_Input_SK-N-SH_SRX16500041",1,1,1,1,"/cluster/home/WeiNa/project/ecDNA/result/ENCODE_Input/encode/ENCSR850KFE_ChIP-seq_Input_SK-N-SH_SRX16500041","Input","SKNSH","Peripheral Nervous System","1"
"1330","ENCSR192TOE_ChIP-seq_Input_K562_SRX11163442",1,1,1,0,"/cluster/home/WeiNa/project/ecDNA/result/ENCODE_Input/encode/ENCSR192TOE_ChIP-seq_Input_K562_SRX11163442","Input","K562","Myeloid","0"
"1331","ENCSR922UWH_ChIP-seq_Input_SK-N-SH_SRX11167784",1,1,1,1,"/cluster/home/WeiNa/project/ecDNA/result/ENCODE_Input/encode/ENCSR922UWH_ChIP-seq_Input_SK-N-SH_SRX11167784","Input","SKNSH","Peripheral Nervous System","1"
"1332","ENCSR855NLW_ChIP-seq_Input_A549_SRX11167869",1,1,1,1,"/cluster/home/WeiNa/project/ecDNA/result/ENCODE_Input/encode/ENCSR855NLW_ChIP-seq_Input_A549_SRX11167869","Input","A549","Lung","1"
