ENTITY_STABLE_ID	NAME	C3N-02770	C3L-02970	C3N-01364	C3N-02782	C3L-04084	C3N-01798	C3N-02783	C3N-01814	C3L-02708	C3L-01049	C3N-01505	C3L-02984	C3N-01815	C3N-03182	C3N-03186	C3N-03088	C3N-02186	C3L-01045	C3L-02705	C3L-02707	C3L-03968	C3N-00663	C3N-01517	C3L-03748	C3N-00665	C3N-02188	C3L-01157	C3N-02769	C3N-02788	C3N-03184	C3N-01856	C3N-02185	C3L-03681	C3L-00365	C3L-00677	C3L-01149	C3N-01515	C3N-02183	C3L-03266	C3L-01043	C3L-00674	C3L-03727	C3N-01816	C3N-01192	C3L-03728	C3N-02181	C3L-02704	C3N-01852	C3N-03180	C3N-02256	C3N-03183	C3L-02041	C3L-01887	C3N-03188	C3L-03407	C3N-02785	C3N-02190	C3N-01334	C3N-02255	C3N-02784	C3L-02642	C3N-01369	C3L-02900	C3N-01518	C3L-02465	C3N-02786	C3L-02504	C3N-03070	C3N-00662	C3L-01048	C3N-01196	C3N-01368	C3L-02542	C3N-00661	C3N-01818
urea	urea	NA	22.299	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.518	NA	NA	NA	NA	NA	NA	24.554	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.861	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.077	NA	NA	NA	NA	NA	NA	NA	25.094
uridine_5'-monophosphate	uridine 5'-monophosphate	NA	NA	NA	18.066	NA	NA	NA	NA	NA	21.536	20.42	NA	NA	NA	20.538	NA	NA	NA	NA	NA	23.121	NA	NA	NA	NA	NA	NA	NA	20.931	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.345	NA	19.952	NA	20.388	NA	19.811	NA	NA	20.641	NA	NA	NA	NA	NA	NA	NA	NA	19.446	NA	NA	NA	NA	NA	NA	18.631	NA	NA	NA	NA	NA	23.135	20.831	NA
xylitol	xylitol	NA	NA	NA	NA	NA	NA	NA	NA	18.093	NA	NA	23.308	NA	NA	NA	NA	NA	21.066	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.582	NA	NA	18.273	NA	NA	NA	NA	NA	NA	NA	19.132	NA	NA	NA	19.081	NA	NA	17.172	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.426	NA	NA	NA	NA	18.357	NA	NA	NA	16.425	NA	NA	NA	NA	NA
Unknown_001	Unknown 001	NA	NA	NA	NA	NA	19.373	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.262	NA	NA	21.761	NA	NA	NA	NA	NA	21.177	20.145	20.274	19.382	NA	NA	NA	NA	NA	NA	20.561	20.317	NA	NA	16.835	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.536	NA	NA	NA	19.351	NA	NA	NA	NA	NA	NA	18.634	NA	NA	NA	NA
Unknown_002	Unknown 002	22.465	21.523	21.447	21.142	20.369	20.659	19.892	20.868	20.865	21.501	20.485	18.93	21.165	22.039	20.396	20.896	21.024	22.392	21.235	20.952	20.943	21.771	21.381	20.958	21.546	20.417	21.357	21.632	20.976	20.839	21.202	20.43	22.252	20.55	20.868	21.162	20.168	20.365	21.717	20.85	22.644	20.945	20.044	21.423	19.961	20.725	19.949	21.333	21.134	21.9	20.69	20.329	21.185	20.903	18.907	21.864	21.807	21.116	20.644	20.311	19.566	21.41	21.058	20.438	21.766	21.372	20.541	21.24	20.322	21.606	20.321	20.474	21.713	20.314	NA
Unknown_003	Unknown 003	22.796	19.87	20.495	21.043	22.302	22.557	20.238	20.234	19.871	21.976	19.252	23.836	20.569	19.903	19.009	23.49	22.757	22.362	21.789	19.183	23.006	20.581	21.337	21.774	21.393	19.34	23.336	22.024	22.646	22.379	20.767	21.62	22.313	20.443	20.334	21.657	22.458	23.579	22.561	19.894	23.286	18.351	22.246	22.738	22.445	19.478	21.596	19.737	20.089	21.746	21.609	19.309	17.903	21.708	22.428	20.268	22.198	21.558	20.282	22.61	22.491	20.925	17.06	22.385	19.313	21.787	20.89	21.797	19.958	21.306	22.05	22.105	22.607	19.392	NA
Unknown_004	Unknown 004	19.14	18.188	18.821	19.575	19.212	18.924	19.471	18.93	19.103	18.568	19.99	19.108	19.527	20.01	17.492	19.168	19.647	18.465	19.056	20.828	17.619	18.961	20.015	19.366	19.023	19.453	19.961	18.508	20.278	20.561	18.619	19.461	17.68	19.861	19.234	19.102	18.518	18.393	19.528	19.565	19.861	20.458	19.031	18.442	18.554	18.361	18.253	20.437	19.848	20.106	18.878	18.35	19.847	18.109	17.164	19.713	20.206	18.94	20.171	18.708	17.909	19.543	20.228	19.006	19.179	19.077	18.425	18.52	18.309	19.597	21.291	18.672	18.766	21.866	NA
Unknown_005	Unknown 005	23.172	22.951	23.711	23.178	22.702	22.921	23.013	22.963	23.911	24.121	23.449	23.402	24.827	23.776	23.482	23.334	22.642	24.965	23.092	23.167	23.848	23.692	23.021	22.763	23.427	23.067	23.43	23.636	23.484	22.879	23.542	23.335	22.304	23.366	23.396	23.609	23.722	23.286	22.787	23.76	23.404	23.031	23.119	23.082	22.729	24.001	23.052	23.342	24.35	23.213	23.615	22.731	23.281	23.323	21.25	23.29	22.817	22.471	23.143	22.61	22.563	25.147	23.057	23.644	22.879	23.834	23.249	24.581	23.342	24.375	23.135	22.587	23.527	23.347	23.052
Unknown_006	Unknown 006	21.993	21.503	22.302	22.412	20.861	21.424	22.448	22.529	21.699	21.858	23.339	22.926	24.216	19.055	20.467	19.286	24.148	22.046	22.582	23.015	20.764	21.075	18.621	21.75	22.423	22.11	23.846	20.061	19.293	21.737	21.962	22.706	20.822	19.921	19.25	22.409	20.937	23.006	23.447	23.07	23.188	22.479	21.424	19.961	23.1	22.591	19.095	23.256	25.463	23.058	17.744	22.091	24.371	24.208	19.78	22.515	18.307	21.723	23.202	20.528	22.449	23.755	18.573	18.867	18.152	21.774	22.458	22.137	22.657	22.779	21.504	17.625	21.847	22.449	20.802
Unknown_007	Unknown 007	20.716	20.269	19.027	20.011	19.398	21.064	19.914	19.672	20.46	20.829	19.451	21.225	20.757	19.592	19.477	20.181	18.355	19.593	19.344	21.201	21.229	19.135	21.588	18.162	20.339	20.71	19.79	19.865	21.144	19.908	20.772	19.408	20.018	20.779	20.352	19.872	20.665	18.729	20.758	20.804	20.793	21.201	20.746	21.933	19.604	19.933	19.039	19.869	21.277	20.988	21.438	20.11	21.17	19.463	19.885	21.073	20.129	18.591	19.71	19.811	16.874	20.893	21.193	20.292	20.952	20.906	19.71	21.663	21.18	20.276	21.021	18.188	21.346	19.73	22.835
