ENTITY_STABLE_ID	NAME	C3N-02770	C3L-02970	C3N-01364	C3N-02782	C3L-04084	C3N-01798	C3N-02783	C3N-01814	C3L-02708	C3L-01049	C3N-01505	C3L-02984	C3N-01815	C3N-03182	C3N-03186	C3N-03088	C3N-02186	C3L-01045	C3L-02705	C3L-02707	C3L-03968	C3N-00663	C3N-01517	C3L-03748	C3N-00665	C3N-02188	C3L-01157	C3N-02769	C3N-02788	C3N-03184	C3N-01856	C3N-02185	C3L-03681	C3L-00365	C3L-00677	C3L-01149	C3N-01515	C3N-02183	C3L-03266	C3L-01043	C3L-00674	C3L-03727	C3N-01816	C3N-01192	C3L-03728	C3N-02181	C3L-02704	C3N-01852	C3N-03180	C3N-02256	C3N-03183	C3L-02041	C3L-01887	C3N-03188	C3L-03407	C3N-02785	C3N-02190	C3N-01334	C3N-02255	C3N-02784	C3L-02642	C3N-01369	C3L-02900	C3N-01518	C3L-02465	C3N-02786	C3L-02504	C3N-03070	C3N-00662	C3L-01048	C3N-01196	C3N-01368	C3L-02542	C3N-00661	C3N-01818
Unknown_018	Unknown 018	20.328	21.176	20.008	19.806	21.102	20.173	18.978	19.753	17.153	19.436	21.455	18.794	20.219	20.229	20.529	21.132	20.413	18.106	19.082	20.619	19.87	19.155	21.188	20.01	20.158	20.894	21.298	18.611	19.019	21.63	18.323	20.343	19.896	19.666	19.911	21.205	19.015	20.161	17.441	20.801	19.6	20.628	20.409	19.874	20.723	20.197	20.731	18.654	19.907	20.753	18.648	20.881	20.905	20.902	20.292	20.529	20.886	20.387	21.079	21.149	15.858	19.572	19.765	20.307	19.891	19.328	20.16	19.605	21.232	20.357	21.201	21.057	19.437	18.819	20.388
Unknown_019	Unknown 019	20.553	20.265	19.305	20.314	16.979	21.145	20.412	20.417	20.257	18.007	20.596	20.794	17.948	19.773	20.414	19.72	20.844	22.203	19.935	20.397	17.846	20.661	20.734	19.466	17.065	19.245	19.16	21.445	20.397	19.394	21.352	17.782	16.931	17.717	21.552	17.89	20.254	18.283	20.974	17.298	20.67	20.993	20.723	21.077	18.784	19.362	20.709	20.933	19.272	20.508	21.445	17.224	21.163	21.014	18.913	18.71	19.267	19.779	20.836	18.124	18.979	19.16	20.973	16.899	19.921	21.296	20.538	18.021	20.396	19.349	17.629	19.944	20.649	20.876	20.741
Unknown_020	Unknown 020	20.371	21.678	20.093	19.881	21.616	19.022	19.939	20.12	20.65	20.424	20.154	20.083	21.214	21.072	20.465	20.96	20.355	21.874	19.949	19.895	20.658	21.08	19.9	20.551	18.73	20.244	21.509	19.285	21.049	20.72	19.351	20.208	21.478	21.913	20.75	21.91	20.639	21.511	20.591	19.934	20.307	19.14	21.201	20.38	21.079	19.606	20.643	20.597	20.654	20.178	19.673	20.19	19.869	20.911	19.771	20.508	20.696	20.165	20.032	21.499	20.201	20.998	18.934	20.548	20.079	21.027	18.57	19.997	20.328	20.691	20.075	20.21	20.636	19.333	18.866
Unknown_021	Unknown 021	21.581	21.519	21.229	22.654	20.894	20.566	21.026	20.535	23.658	21.973	23.237	20.893	22.198	22.706	22.313	21.105	21.142	20.855	22.777	21.977	22.105	23.378	22.676	21.648	21.491	20.65	16.879	22.462	21.069	21.196	22.49	21.187	20.799	22.569	22.84	21.201	21.102	19.54	21.373	23.107	22.694	21.283	20.897	23.209	20.329	21.857	20.428	22.643	22.161	21.226	21.496	21.33	22.039	20.765	20.344	22.859	22.135	20.274	21.604	19.943	19.947	22.386	21.138	21.287	22.713	22.328	21.875	23.131	21.447	21.782	21.02	20.511	20.928	22.732	20.79
Unknown_022	Unknown 022	21.866	19.69	22.264	22.027	22.711	22.58	18.202	21.729	22.47	21.459	20.346	19.275	19.579	22.097	21.325	22.543	21.347	18.341	21.132	22.121	22.247	18.388	23.194	21.596	20.295	22.284	18.476	20.343	21.509	22.746	17.909	22.906	18.258	19.138	22.596	23.454	20.439	22.489	20.885	21.747	20.682	22.196	21.91	20.041	21.08	20.017	19.39	20.712	22.913	23.502	22.141	22.952	21.491	22.896	18.391	21.976	23.255	22.774	21.564	22.456	21.489	17.173	19.579	21.088	21.097	21.538	20.797	20.183	23.104	21.201	21.218	20.608	20.942	20.877	21.201
Unknown_023	Unknown 023	19.442	19.358	18.787	18.988	18.805	18.82	18.763	18.83	17.9	18.176	19.038	19.389	19.657	18.157	18.966	19.177	18.874	16.678	17.611	19.144	18.14	18.451	19.84	18.517	18.237	19.407	19.109	18.666	18.828	19.454	17.907	18.619	19.317	19.304	18.657	18.938	19.158	18.726	18.363	18.669	19.075	18.304	18.967	19.38	19.04	18.765	19.082	19.417	18.904	19.319	18.241	17.508	19.217	19.617	18.25	18.984	17.909	18.38	19.292	19.204	18.916	17.465	17.872	19.554	18.316	17.815	18.604	18.65	19.162	19.694	18.647	19.44	17.521	18.336	18.547
Unknown_024	Unknown 024	21.199	22.86	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.327	NA	NA	NA	NA	22.548	21.059	21.24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.787	NA	20.33	NA	NA	NA	20.957	22.585	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.255	NA
Unknown_025	Unknown 025	18.156	21.086	19.69	18.687	22.132	18.735	17.65	18.266	17.447	19.23	18.904	21.344	19.505	17.68	19.96	21.353	21.543	22.209	18.841	18.363	22.137	18.486	21.156	18.976	22.239	20.713	22.84	18.193	21.691	21.175	21.128	19.993	19.119	19.523	18.058	18.997	19.53	18.766	17.393	20.751	18.469	18.707	18.348	22.324	18.977	21.86	19.252	18.529	19.92	20.009	21.602	20.944	19.081	20.419	20.908	18.886	20.028	20.809	17.732	19.065	18.619	21.013	20.779	19.762	17.88	17.124	21.538	19.236	20.795	18.953	21.576	20.493	23.285	19.721	19.807
Unknown_026	Unknown 026	20.016	20.915	21.837	18.955	20.692	18.982	19.849	19.375	20.525	25.168	21.339	20.898	20.93	20.152	19.972	20.104	20.051	24.994	20.192	20.155	20.075	20.41	18.82	20.749	21.068	20.333	21.802	20.189	20.092	19.336	21.338	19.721	20.569	20.461	20.72	24.952	20.715	20.413	20.656	24.416	20.919	20.718	19.978	21.081	20.547	20.23	21.152	21.017	20.088	20.386	20.868	20.182	19.716	19.278	19.969	20.43	19.434	19.565	18.885	20.735	19.876	20.937	22.056	19.892	20.15	20.339	19.87	19.69	19.87	25.876	19.101	19.374	20.743	20.295	19.561
Unknown_027	Unknown 027	18.918	17.591	17.636	19.493	16.224	19.242	18.831	18.789	19.313	14.742	18.458	19.372	NA	19.184	18.317	17.567	18.787	19.75	17.423	19.905	15.141	19.372	17.948	17.39	16.108	17.967	18.133	19.514	20.349	18.145	18.743	16.484	14.646	14.398	19.243	14.337	19.833	17.535	18.956	17.436	18.718	18.452	19.206	20.073	16.255	18.704	18.245	19.161	17.263	20.286	18.324	16.682	18.573	19.193	17.622	16.982	20.626	18.097	20.232	16.153	17.715	NA	19.249	15.748	17.18	19.754	17.556	16.191	18.092	18.174	17.391	18.313	19.036	17.272	19.395
Unknown_028	Unknown 028	19.193	17.838	18.793	16.056	18.052	16.05	16.222	16.046	16.992	18.574	16.823	16.581	17.289	18.203	18.048	18.603	16.438	18.329	15.974	17.094	18.003	17.331	16.269	17.081	16.554	17.577	18.648	15.096	18.669	18.979	18.872	17.312	18.77	17.363	16.646	18.473	17.899	18.051	16.266	17.706	16.947	16.027	17.081	17.75	17.227	16.921	16.967	17.3	15.867	17.949	16.594	17.817	16.337	21.282	17.911	16.411	17.04	22.143	18.811	16.876	16.568	17.555	18.816	17.671	17.682	18.152	16.459	15.397	17.1	16.821	22.915	18.087	16.218	16.411	21.133
Unknown_029	Unknown 029	21.62	18.574	21.817	20.634	22.247	20.198	21.272	20.935	20.532	20.95	21.773	19.431	21.928	20.491	20.427	21.938	21.034	21.251	20.917	20.191	21.246	21.444	20.874	21.9	21.784	21.666	22.073	21.164	20.725	21.868	22.212	21.925	21.376	22.366	21.241	22.593	20.313	22.012	19.998	22.61	21.9	20.291	21.516	21.185	21.641	20.974	21.251	20.606	22.958	20.855	20.178	21.591	20.365	19.526	21.177	22.157	20.531	20.603	19.722	21.217	21.185	22.68	20.785	22.724	20.143	21.29	20.902	22.317	21.025	20.031	22.251	21.342	20.576	21.006	18.993
Unknown_030	Unknown 030	21.271	24.031	20.881	21.541	17.516	21.49	20.032	21.959	21.562	18.554	22.3	22.087	19.341	21.334	21.421	21.681	21.992	21.845	21.779	22.167	17.857	21.628	21.674	19.138	16.481	17.892	21.34	21.582	22.733	19.928	21.589	17.823	17.683	17.827	21.77	17.143	21.423	19.697	21.942	18.33	20.235	21.993	22.116	21.975	18.542	19.788	22.237	23.236	20.014	22.257	20.89	18.334	21.679	22.788	17.447	19.232	22.202	21.303	21.527	18.985	20.194	18.795	22.72	17.023	22.244	21.672	22.015	17.33	21.478	18.031	18.219	22.118	18.904	22.923	21.553
Unknown_031	Unknown 031	20.26	20.588	21.545	21.212	21.294	20.448	20.064	20.177	20.984	22.171	21.572	20.261	22.043	21.237	20.323	20.992	20.688	20.38	20.199	20.487	21.111	20.339	20.622	21.272	21.059	21.262	22.281	20.364	20.857	21.714	19.845	21.498	21.43	21.45	20.717	21.819	21.116	22.286	19.962	21.195	19.94	20.534	20.827	21.222	21.643	20.543	20.575	20.526	20.315	20.872	20.761	21.431	20.164	20.316	21.603	20.622	21.734	21.442	20.779	22.28	20.554	20.879	20.658	22.02	20.428	21.401	20.517	19.986	21.739	21.318	21.592	21.199	20.753	20.074	21.814
Unknown_032	Unknown 032	19.706	20.2	19.416	20.747	20.345	19.571	20.355	18.822	19.393	19.941	20.818	21.184	20.589	19.693	20.252	20.277	20.192	21.768	20.893	20.93	19.29	20.065	20.47	19.689	20.576	19.808	20.953	19.266	20.872	21.217	19.921	19.031	21.467	19.754	19.444	19.293	20.639	18.513	19.764	19.629	20.983	19.298	19.848	20.583	21.335	20.388	21.456	20.296	21.085	20.439	20.289	20.289	20.081	20.934	21.245	20.032	19.527	20.912	21.434	18.866	18.858	19.665	19.81	19.258	20.898	19.952	20.05	19.102	21.028	20.109	19.696	21.204	21.412	19.654	NA
Unknown_033	Unknown 033	19.05	19.831	19.589	19.652	19.351	18.325	19.319	18.48	19.884	18.548	19.584	20.292	19.879	19.735	19.049	19.76	18.673	20.636	19.927	19.365	19.098	18.836	19.497	19.618	19.426	19.137	20.518	18.744	20.129	20.217	18.842	17.901	20.385	18.751	19.131	19.071	19.476	19.109	19.946	19.079	19.935	19.251	19.149	19.096	20.643	20.199	20.53	19.181	20.473	18.96	19.16	19.915	18.96	18.562	20.138	19.739	18.436	19.746	20.374	18.29	18.582	18.656	19.419	17.738	19.776	18.907	19.134	18.889	20.101	19.688	18.43	19.959	20.411	18.84	NA
Unknown_034	Unknown 034	17.722	18.91	20.386	19.741	18.049	20.488	20.451	17.132	21.21	18.562	19.698	20.03	20.028	18.708	17.667	20.055	18.631	21.045	20.984	20.397	19.79	19.755	18.808	19.467	18.851	19.082	20.214	19.122	18.981	19.739	20.335	18.552	21.493	17.896	19.385	18.423	20.773	18.544	20.308	19.601	20.507	18.911	19.863	18.884	21.034	21.046	20.784	19.845	20.182	18.82	21.04	20.173	19.952	17.659	21.849	20.587	18.205	19.722	19.913	18.213	19.574	20.764	20.134	18.38	19.399	19.332	20.034	20.269	20.594	20.28	17.757	21.107	20.994	17.867	NA
Unknown_035	Unknown 035	19.967	20.126	22.972	20.691	21.842	22.283	21.543	19.962	22.805	23.309	22.395	24.473	19.981	22.151	21.717	22.684	20.515	23.092	22.905	22.081	22.929	21.867	19.893	23.501	23.638	22.736	23.248	22.183	22.354	22.67	20.939	21.527	24.099	23.382	21.498	21.691	21.9	21.689	22.699	21.861	21.873	21.253	21.603	20.689	22.402	22.996	24.596	21.836	20.962	20.818	21.978	22.429	21.325	21.558	22.087	22.536	20.918	22.456	22.591	21.948	22.254	22.804	21.856	21.33	22.164	20.456	20.819	21.172	21.169	22.746	19.99	23.77	22.26	20.165	21.187
Unknown_036	Unknown 036	21.193	21.099	21.305	20.917	20.443	20.799	21.009	21.199	21.464	21.318	21.219	21.316	22.592	21.68	21.23	21.121	20.652	22.654	20.772	20.833	20.874	21.423	20.647	20.522	20.77	20.656	21.039	21.417	21.168	20.453	21.915	21.45	14.327	20.807	21.625	21.193	21.783	20.974	20.769	21.298	21.121	21.25	21.208	21.567	20.838	21.759	20.344	21.212	22.033	21.389	21.402	20.23	21.026	21.188	19.815	20.995	21.256	20.27	21.018	20.282	20.345	23.04	20.925	21.201	20.558	21.654	21.18	21.354	21.018	21.908	21.166	20.054	21.201	21.277	19.851
Unknown_037	Unknown 037	19.758	20.043	21.389	23.552	20.483	19.325	23.648	19.044	22.603	21.758	22.823	21.635	21.142	19.45	18.864	21.601	20.246	21.081	24.872	22.081	21.174	21.183	21.813	19.632	19.864	19.771	21.371	22.234	23.37	22.784	19.884	21.548	20.232	20.579	17.972	23.028	21.568	22.156	23.392	20.974	24.943	20.165	19.443	19.948	21.622	21.646	24.433	22.703	21.119	20.497	20.522	21.046	22.078	19.862	24.471	23.133	20.804	22.285	22.506	21.879	21.248	20.58	21.23	21.513	21.201	20.064	21.387	22.542	19.126	20.751	18.995	24.229	20.98	21.212	23.598
Unknown_038	Unknown 038	25.059	25.306	25.441	24.977	24.53	24.86	24.783	24.92	25.516	25.322	25.26	25.312	26.357	25.745	25.373	25.119	24.58	26.458	24.738	25.065	24.959	25.359	24.74	24.72	24.854	24.811	25.091	25.573	25.057	24.377	25.829	25.078	23.986	24.847	25.46	25.23	25.387	25.015	24.668	25.329	25.061	24.913	25.067	25.532	24.431	26.022	24.502	25.175	26.128	25.184	25.233	24.226	25.156	25.063	24.157	25.122	25.001	24.304	24.996	24.276	24.407	26.881	24.96	25.077	24.612	25.584	24.902	25.4	25.022	25.926	24.791	24.324	25.272	25.053	24.772
Unknown_039	Unknown 039	23.684	18.556	19.18	21.146	21.652	23.217	23.62	23.63	17.874	22.006	18.661	19.111	20.891	24.24	24.667	21.322	23.131	17.692	23.476	19.78	20.882	24.092	23.228	23.554	21.075	21.119	20.779	23.952	18.594	20.932	20.274	21.514	22.376	20.937	24.065	23.555	19.847	21.874	23.528	21.403	23.704	23.801	23.616	18.155	23.494	21.201	23.116	23.959	22.158	18.614	23.391	21.288	20.592	19.089	23.247	19.664	23.73	22.742	18.429	21.84	22.322	24.542	17.752	21.883	19.397	16.841	23.983	18.558	24.345	19.283	20.081	19.047	24.244	23.697	19.152
Unknown_040	Unknown 040	20.557	20.478	19.893	20.133	18.828	20.825	20.127	20.545	21.316	19.087	20.82	21.321	18.519	20.706	20.434	19.391	20.951	22.499	18.884	19.846	19.714	20.149	20.78	18.325	18.778	19.594	19.854	21.746	20.667	19.686	21.18	18.384	17.718	17.385	21.398	18.981	21.372	19.384	20.702	18.258	20.598	20.611	20.455	21.763	18.406	19.026	20.742	20.953	20.159	20.755	21.435	19.504	20.84	20.418	19.246	18.555	20.543	18.968	20.697	18.546	18.694	20.439	22.031	17.2	19.881	22.208	19.178	19.005	20.75	20.893	19.163	19.434	20.723	20.731	21.568
Unknown_041	Unknown 041	20.019	20.228	19.589	20.106	18.244	20.239	20.28	19.978	20.168	19.322	20.603	20.494	19.207	20.875	19.977	19.905	20.563	21.795	19.752	20.087	19.57	20.854	20.053	19.004	18.757	19.478	19.718	21.326	20.204	19.22	21.181	18.535	18.448	17.458	21.201	18.397	21.183	19.076	20.278	18.422	20.598	20.17	20.399	21.319	19.483	19.319	20.132	20.626	19.777	19.997	20.833	18.329	20.777	20.427	19.192	19.637	20.293	19.311	20.232	19.708	19.967	19.967	21.057	17.77	19.514	21.176	20.344	18.358	19.955	20.336	18.644	20.181	20.294	20.177	20.015
Unknown_042	Unknown 042	23	22.572	23.133	23.289	21.305	24.375	22.87	23.509	22.291	20.329	17.762	18.585	23.475	24.128	25.076	23.478	22.312	17.755	22.424	23.514	21.636	23.03	23.743	23.014	22.694	23.507	19.582	22.674	22.309	17.904	22.378	22.42	19.815	22.067	23.427	17.48	21.902	23.119	22.246	17.477	22.512	23.996	22.892	18.699	23.393	25.171	21.502	22.383	17.528	18.546	22.971	21.725	23.562	23.246	22.472	23.088	24.017	23.24	17.438	20.31	22.144	23.621	18.614	21.907	21.195	19.88	23.691	18.044	24.087	17.603	19.119	22.677	23.819	23.658	21.959
Unknown_043	Unknown 043	21.529	20.18	21.093	21.37	18.717	22.734	21.348	21.848	20.479	20.116	20.522	20.275	21.988	22.773	21.568	21.184	18.772	19.6	19.403	21.517	19.507	20.577	21.53	20.183	20.334	19.252	20.66	20.785	20.059	19.825	20.161	20.496	21.059	20.04	21.584	19.082	19.956	21.661	19.82	20.37	19.288	22.503	21.612	20.526	22.085	23.578	21.471	19.586	19.13	19.95	21.532	19.044	21.992	20.316	21.158	21.315	22.245	19.796	20.857	18.382	18.572	20.392	20.104	18.645	19.792	19.403	22.106	19.4	22.488	19.277	19.616	20.7	22.505	21.967	19.479
Unknown_044	Unknown 044	23.956	24.165	24.388	24.03	23.628	23.726	23.924	23.861	24.646	24.494	24.344	24.499	25.331	24.564	24.082	24.06	23.599	25.46	23.913	24.1	23.973	24.389	23.735	23.778	23.94	23.82	24.246	24.5	24.103	23.641	24.776	24.078	23.193	24.039	24.339	24.318	24.409	24.012	23.745	24.469	24.243	23.764	23.966	24.531	23.503	24.818	23.662	24.154	25.167	24.277	24.216	23.447	24.085	23.958	23.324	24.135	23.86	23.387	24.222	23.32	23.389	25.814	24.121	24.192	23.646	24.611	23.881	24.638	23.895	24.958	23.918	23.433	24.016	23.974	23.631
Unknown_045	Unknown 045	14.272	18.864	17.078	17.143	14.917	18.918	16.52	15.317	15.433	18.236	16.411	19.769	NA	19.184	18.18	17.134	16.495	18.859	16.106	17.5	16.056	17.847	15.675	13.995	19.25	16.644	18.38	NA	20.434	17.869	13.383	13.994	NA	14.219	15.649	18.541	15.753	14.83	18.392	15.518	14.889	17.475	17.645	16.987	NA	16.59	16.301	19.163	17.503	18.116	18.249	15.98	NA	18.919	14.357	15.196	20.036	16.851	18.637	13.689	14.884	16.15	19.334	13.899	18.115	17.835	15.991	16.669	18.091	19.297	16.591	17.186	17.23	15.653	NA
Unknown_046	Unknown 046	18.899	18.779	18.928	19.249	17.024	18.548	18.941	18.651	19.089	18.999	19.113	22.974	18.628	20.019	18.947	17.356	19.235	19.912	18.904	18.344	18.347	22.844	18.789	18.315	18.146	18.841	18.484	19.434	19.012	18.014	19.522	18.136	21.66	17.649	18.884	22.903	19.667	22.469	18.274	20.728	19.291	18.385	22.575	19.574	17.697	21.341	19.01	19.142	21.722	18.665	19.397	18.125	18.734	18.518	18.437	18.505	19.217	18.649	18.552	18.12	21.509	18.84	18.664	18.332	18.11	20.602	18.482	17.739	19.081	18.909	17.3	18.056	19.377	19.131	21.579
Unknown_047	Unknown 047	19.192	19.629	18.578	18.922	19.172	18.861	18.481	19.256	19.202	18.055	19.631	19.285	19.82	18.675	19.328	18.691	19.065	18.79	18.318	18.987	18.825	18.932	18.804	18.779	19.759	18.607	18.138	19.444	19.01	17.564	20.73	19.253	21.877	20.122	19.251	19.037	19.225	18.306	19.056	19.274	19.88	19.029	18.97	19.821	18.796	18.914	19.436	19.497	20.012	18.618	18.83	18.239	18.489	18.531	19.044	18.717	18.793	18.352	18.766	17.445	21.987	20.927	19.006	18.577	18.201	19.793	18.646	19.168	18.489	18.042	19.562	18.592	18.587	19.29	19.005
Unknown_048	Unknown 048	19.108	20.073	18.732	18.944	18.55	18.217	17.995	18.687	18.838	18.577	19.06	18.078	18.519	18.597	19.876	18.606	18.989	19.582	17.589	18.08	24.138	18.236	18.05	19	19.124	19.063	18.093	19.751	19.168	18.627	21.421	18.525	17.06	18.852	19.381	17.312	18.997	17.171	18.823	18.654	19.466	18.953	18.12	19.714	17.075	19.026	19.366	18.757	20.852	18.12	19.19	16.917	18.208	17.941	17.46	17.829	19.16	18.503	18.493	17.683	17.592	20.355	18.76	17.887	17.301	19.56	18.803	17.753	18.962	19.62	18.771	18.225	18.574	19.737	18.883
Unknown_049	Unknown 049	18.441	19.726	18.194	20.136	19.189	18.751	19.597	18.35	17.997	19.59	19.164	19.161	19.991	17.16	18.678	19.366	19.662	19.473	18.257	19.608	18.811	18.889	18.522	18.577	19.15	19.57	19.105	17.264	20.527	20.597	18.117	18.879	21.214	19.192	16.806	19.183	19.075	18.61	18.785	18.607	18.893	19.317	17.228	19.477	19.425	20.206	20.172	18.467	18.845	19.218	19.128	19.67	16.772	17.884	19.214	18.848	18.923	18.946	19.505	19.97	18.893	18.189	20.018	18.822	20.111	18.898	18.912	16.674	19.167	18.741	19.915	20.995	18.694	18.936	20.881
Unknown_050	Unknown 050	20.263	21.59	21.366	19.251	19.669	21.366	21.365	21.792	19.39	20.835	20.975	22.489	18.871	19.926	20.608	21.221	20.917	19.219	19.762	20.63	19.981	19.74	21.305	20.22	20.519	20.211	19.706	21.242	21.908	20.56	20.922	20.695	19.275	19.385	19.406	19.837	22.732	20.814	18.069	20.241	18.712	19.614	20.705	21.919	20.403	21.65	19.363	19.878	19.254	22.418	20.663	22.026	20.772	21.113	20.92	20.768	20.897	20.591	20.299	19.97	22.738	19.736	19.834	21.083	20.082	20.147	23.5	20.602	21.477	19.3	19.97	20.039	22.521	21.943	21.443
Unknown_051	Unknown 051	19.767	18.853	17.819	17.966	19.553	17.683	16.747	18.999	18.919	19.998	19.639	19.641	20.75	18.974	19.566	20.641	19.91	19.893	18.414	17.968	20.469	19.012	17.405	18.352	19.588	19.42	19.744	19.73	23.198	19.967	22.02	19.546	18.142	19.496	19.073	18.297	23.86	20.184	19.083	20.046	20.026	17.87	18.908	20.442	18.044	20.889	20.006	18.881	20.901	19.107	18.496	19.853	20.225	19.096	19.746	17.474	20.114	19.689	20.092	17.994	19.512	20.923	18.843	15.516	16.449	19.932	17.956	17.923	19.648	20.818	18.167	18.615	18.274	19.993	20.895

