header	clcell	Datasource	isctrl	cancer	Cancer_Category	Origin
ES_EWS_6647_p6	6647	GEO	0	ES	Solid Tumor	Mesenchymal tumors
ES_EWS_TC-71_p2	TC71	GEO	0	ES	Solid Tumor	Mesenchymal tumors
ES_EWS_TC-71_p3	TC71	GEO	0	ES	Solid Tumor	Mesenchymal tumors
ES_EWS_TC-71_p4	TC71	GEO	0	ES	Solid Tumor	Mesenchymal tumors
ES_EWS_TC-71_p6	TC71	GEO	0	ES	Solid Tumor	Mesenchymal tumors
GBM_42MGBA	42MGBA	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_42MGBA_2	42MGBA	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_42MGBA_3	42MGBA	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_A172	A172	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_A172_2	A172	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_A172_3	A172	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_H4	H4	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_H4_2	H4	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_H4_3	H4	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_iPSC	iPSC	GEO	1	GBM	Solid Tumor	Central Nervous System
GBM_iPSC_2	iPSC	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_iPSC_3	iPSC	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_NHA	NHA	GEO	1	GBM	Solid Tumor	Central Nervous System
GBM_NHA_2	NHA	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_NHA_3	NHA	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_NPC	NPC	GEO	1	GBM	Solid Tumor	Central Nervous System
GBM_NPC_2	NPC	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_NPC_3	NPC	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P455_SF11901v1	P455_SF11901v1	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P455_SF11901v10	P455_SF11901v10	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P455_SF11901v2	P455_SF11901v2	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P455_SF11901v3	P455_SF11901v3	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P455_SF11901v4	P455_SF11901v4	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P455_SF11901v5	P455_SF11901v5	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P455_SF11901v6	P455_SF11901v6	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P455_SF11901v7	P455_SF11901v7	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P455_SF11901v8	P455_SF11901v8	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P455_SF11901v9	P455_SF11901v9	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P475_SF12180v1	P475_SF12180v1	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P475_SF12180v2	P475_SF12180v2	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P475_SF12180v3	P475_SF12180v3	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P475_SF12180v4	P475_SF12180v4	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P475_SF12180v5	P475_SF12180v5	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P475_SF12180v6	P475_SF12180v6	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P475_SF12180v7	P475_SF12180v7	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P475_SF12180v8	P475_SF12180v8	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P498_SF12251v1	P498_SF12251v1	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P498_SF12251v10	P498_SF12251v10	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P498_SF12251v2	P498_SF12251v2	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P498_SF12251v3	P498_SF12251v3	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P498_SF12251v4	P498_SF12251v4	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P498_SF12251v5	P498_SF12251v5	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P498_SF12251v7	P498_SF12251v7	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P498_SF12251v8	P498_SF12251v8	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P498_SF12251v9	P498_SF12251v9	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P503_SF12518v1	P503_SF12518v1	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P503_SF12518v10	P503_SF12518v10	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P503_SF12518v2	P503_SF12518v2	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P503_SF12518v3	P503_SF12518v3	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P503_SF12518v4	P503_SF12518v4	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P503_SF12518v5	P503_SF12518v5	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P503_SF12518v6	P503_SF12518v6	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P503_SF12518v7	P503_SF12518v7	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P503_SF12518v8	P503_SF12518v8	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P503_SF12518v9	P503_SF12518v9	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P519_SF12601v1	P519_SF12601v1	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P519_SF12601v10	P519_SF12601v10	GEO	0	GBM	Solid Tumor	Central Nervous System
GBM_P519_SF12601v2	P519_SF12601v2	GEO	0	GBM	Solid Tumor	Central Nervous System
