header	clcell	Datasource	isctrl	cancer	Cancer_Category	Origin
NUT_TC-797_rep3	TC-797	GEO	0	NUT	Solid Tumor	Epithelial tumors
NUT_TC-797_rep4	TC-797	GEO	0	NUT	Solid Tumor	Epithelial tumors
OCILY7.x	OCILY7	GEO	0	DLBCL	Hematological (Lymphoma)	Hematological
OCILY7.y	OCILY7	GEO	0	DLBCL	Hematological (Lymphoma)	Hematological
OCUM1	OCUM1	CCLE	0	GC	Solid Tumor	Digestive System
OV_FT282_rep1	FT282	GEO	1	OV	Solid Tumor	Reproductive System
OV_FT282_rep2	FT282	GEO	1	OV	Solid Tumor	Reproductive System
PBMC_PBMC_rep1_x	PBMC	GEO	1	AML	Hematological (Leukemia)	Hematological
PBMC_PBMC_rep1_y	PBMC	GEO	1	AML	Hematological (Leukemia)	Hematological
PBMC_PBMC_rep2_x	PBMC	GEO	1	AML	Hematological (Leukemia)	Hematological
PBMC_PBMC_rep2_y	PBMC	GEO	1	AML	Hematological (Leukemia)	Hematological
PBMC_PBMC_rep3_x	PBMC	GEO	1	AML	Hematological (Leukemia)	Hematological
PBMC_PBMC_rep3_y	PBMC	GEO	1	AML	Hematological (Leukemia)	Hematological
PC3.x	PC3	GEO	0	PRAD	Solid Tumor	Reproductive System
PC3.y	PC3	GEO	0	PRAD	Solid Tumor	Reproductive System
PEO1	PEO1	CCLE	0	OV	Solid Tumor	Reproductive System
PRAD_C42B_rep1	C42B	GEO	0	PRAD	Solid Tumor	Reproductive System
PRAD_C42B_rep2	C42B	GEO	0	PRAD	Solid Tumor	Reproductive System
PRAD_C42B_rep3	C42B	GEO	0	PRAD	Solid Tumor	Reproductive System
PRECLH	PRECLH	CCLE	0	PRAD	Solid Tumor	Reproductive System
RAJI	RAJI	CCLE	0	BL	Hematological (Lymphoma)	Hematological
RB_ARPE1	ARPE1	GEO	1	RB	Solid Tumor	Central Nervous System
RB_WERI-RB1	WERIRB1	GEO	0	RB	Solid Tumor	Central Nervous System
RCC_786-M1A_1	786M1A	GEO	0	RCC	Solid Tumor	Urinary System
RCC_786-M1A_2	786M1A	GEO	0	RCC	Solid Tumor	Urinary System
RCC_786-O_1	786O	GEO	0	RCC	Solid Tumor	Urinary System
RCC_786-O_2	786O	GEO	0	RCC	Solid Tumor	Urinary System
REC1	REC1	CCLE	0	MCL	Hematological (Lymphoma)	Hematological
REH	REH	CCLE	0	B-ALL	Hematological (Leukemia)	Hematological
RPMI7951	RPMI7951	CCLE	0	MEL	Solid Tumor	Neural crest derived tumors
RPMI8226	RPMI8226	CCLE	0	MM	Hematological (Leukemia)	Hematological
RPMI8402	RPMI8402	CCLE	0	TALL	Hematological (Leukemia)	Hematological
RT4	RT4	CCLE	0	BLCA	Solid Tumor	Urinary System
SCABER	SCABER	CCLE	0	BLCA	Solid Tumor	Urinary System
SHSY5Y	SHSY5Y	CCLE	0	NB	Solid Tumor	Central Nervous System
SJCRH30	SJCRH30	ENCODE	0	RMS	Solid Tumor	Mesenchymal tumors
SKBR3	SKBR3	CCLE	0	BRCA	Solid Tumor	Reproductive System
SKNDZ	SKNDZ	CCLE	0	NB	Solid Tumor	Central Nervous System
SKNMC	SKNMC	CCLE	0	ES	Solid Tumor	Mesenchymal tumors
SKNMC	SKNMC	CCLE	0	NB	Solid Tumor	Central Nervous System
SKNSH	SKNSH	CCLE	0	NB	Solid Tumor	Central Nervous System
SKOV3	SKOV3	CCLE	0	OV	Solid Tumor	Reproductive System
SNU16	SNU16	CCLE	0	GC	Solid Tumor	Digestive System
SNU1750	SNU1750	CCLE	0	GC	Solid Tumor	Digestive System
SNU719	SNU719	CCLE	0	GC	Solid Tumor	Digestive System
SW480	SW480	CCLE	0	CRC	Solid Tumor	Digestive System
SW626	SW626	CCLE	0	OV	Solid Tumor	Reproductive System
SW780	SW780	CCLE	0	BLCA	Solid Tumor	Urinary System
T47D	T47D	CCLE	0	BRCA	Solid Tumor	Reproductive System
TALL_CUTLL1_Control_24hr_replicate_1	CUTLL1	GEO	0	TALL	Hematological (Leukemia)	Hematological
TALL_CUTLL1_Control_24hr_replicate_2	CUTLL1	GEO	0	TALL	Hematological (Leukemia)	Hematological
TALL_CUTLL1_Control_24hr_replicate_3	CUTLL1	GEO	0	TALL	Hematological (Leukemia)	Hematological
TALL_CUTLL1_Control_replicate_1	CUTLL1	GEO	0	TALL	Hematological (Leukemia)	Hematological
TALL_CUTLL1_Control_replicate_2	CUTLL1	GEO	0	TALL	Hematological (Leukemia)	Hematological
TALL_CUTLL1_Control_replicate_3	CUTLL1	GEO	0	TALL	Hematological (Leukemia)	Hematological
TALL_CUTLL1_DMSO_rep1	CUTLL1	GEO	0	TALL	Hematological (Leukemia)	Hematological
TALL_CUTLL1_DMSO_rep2	CUTLL1	GEO	0	TALL	Hematological (Leukemia)	Hematological
TALL_DND41_DMSO_48hr_replicate_1	DND41	GEO	0	TALL	Hematological (Leukemia)	Hematological
TALL_DND41_DMSO_48hr_replicate_2	DND41	GEO	0	TALL	Hematological (Leukemia)	Hematological
TALL_DND41_DMSO_48hr_replicate_3	DND41	GEO	0	TALL	Hematological (Leukemia)	Hematological
TALL_DND41_DMSO_72hr_replicate_1	DND41	GEO	0	TALL	Hematological (Leukemia)	Hematological
TALL_DND41_DMSO_72hr_replicate_2	DND41	GEO	0	TALL	Hematological (Leukemia)	Hematological
TALL_DND41_DMSO_72hr_replicate_3	DND41	GEO	0	TALL	Hematological (Leukemia)	Hematological
TALL_DND42_Rep1	DND42	GEO	0	TALL	Hematological (Leukemia)	Hematological
TALL_DND42_Rep2	DND42	GEO	0	TALL	Hematological (Leukemia)	Hematological
TALL_ETP-ALL1	ETP-ALL	GEO	0	TALL	Hematological (Leukemia)	Hematological
TALL_ETP-ALL2	ETP-ALL	GEO	0	TALL	Hematological (Leukemia)	Hematological
TALL_ETP-ALL3	ETP-ALL	GEO	0	TALL	Hematological (Leukemia)	Hematological
TALL_ETP-ALL4	ETP-ALL	GEO	0	TALL	Hematological (Leukemia)	Hematological
TALL_Jurkat_DMSO_rep1	Jurkat	GEO	0	TALL	Hematological (Leukemia)	Hematological
TALL_Jurkat_DMSO_rep2	Jurkat	GEO	0	TALL	Hematological (Leukemia)	Hematological
TALL_Jurkat_rep1	Jurkat	GEO	0	TALL	Hematological (Leukemia)	Hematological
TALL_Jurkat_rep2	Jurkat	GEO	0	TALL	Hematological (Leukemia)	Hematological
TALL_Jurkat_rep3	Jurkat	GEO	0	TALL	Hematological (Leukemia)	Hematological
TALL_MOLT4_Rep1	MOLT4	GEO	0	TALL	Hematological (Leukemia)	Hematological
TALL_MOLT4_Rep2	MOLT4	GEO	0	TALL	Hematological (Leukemia)	Hematological
TALL_Patient1_rep1	Patient1	GEO	0	TALL	Hematological (Leukemia)	Hematological
TALL_Patient1_rep2	Patient1	GEO	0	TALL	Hematological (Leukemia)	Hematological
TALL_Patient2	Patient2	GEO	0	TALL	Hematological (Leukemia)	Hematological
TALL_RNA-seq_CUTLL1_shControl_rep1	CUTLL1	GEO	0	TALL	Hematological (Leukemia)	Hematological
TALL_RNA-seq_CUTLL1_shControl_rep2	CUTLL1	GEO	0	TALL	Hematological (Leukemia)	Hematological
TALL_RNA-seq_CUTLL1_shControl_rep3	CUTLL1	GEO	0	TALL	Hematological (Leukemia)	Hematological
TALL_T-ALL1	T-ALL	GEO	0	TALL	Hematological (Leukemia)	Hematological
TALL_T-ALL2	T-ALL	GEO	0	TALL	Hematological (Leukemia)	Hematological
TALL_T-ALL3	T-ALL	GEO	0	TALL	Hematological (Leukemia)	Hematological
TALL_T-ALL4	T-ALL	GEO	0	TALL	Hematological (Leukemia)	Hematological
TALL_Tcell_rep1	Tcell	GEO	1	TALL	Hematological (Leukemia)	Hematological
TALL_Tcell_rep2	Tcell	GEO	1	TALL	Hematological (Leukemia)	Hematological
TALL_Tcell_rep3	Tcell	GEO	1	TALL	Hematological (Leukemia)	Hematological
TALL_Tcell_rep4	Tcell	GEO	1	TALL	Hematological (Leukemia)	Hematological
THP1	THP1	CCLE	0	AML	Hematological (Leukemia)	Hematological
thyroid_gland	thyroid_gland	ENCODE	1	thyroid_gland	Normal Tissue	NA
TT	TT	CCLE	0	MTC	Solid Tumor	Epithelial tumors
U2OS	U2OS	CCLE	0	OS	Solid Tumor	Mesenchymal tumors
U937	U937	CCLE	0	AML	Hematological (Leukemia)	Hematological
UCEC_LEIO_PT728	LEIOPT728	GEO	0	UCEC	Solid Tumor	Reproductive System
UCEC_LEIO_PT758	LEIOPT758	GEO	0	UCEC	Solid Tumor	Reproductive System
UCEC_LEIO-PT1063	LEIOPT1063	GEO	0	UCEC	Solid Tumor	Reproductive System
UCEC_LEIO-PT1113	LEIOPT1113	GEO	0	UCEC	Solid Tumor	Reproductive System
UCEC_LEIO-PT1119	LEIOPT1119	GEO	0	UCEC	Solid Tumor	Reproductive System
UCEC_LEIO-PT1123	LEIOPT1123	GEO	0	UCEC	Solid Tumor	Reproductive System
UCEC_LEIO-PT1151	LEIOPT1151	GEO	0	UCEC	Solid Tumor	Reproductive System
UCEC_LEIO-PT354	LEIOPT354	GEO	0	UCEC	Solid Tumor	Reproductive System
UCEC_LEIO-PT563	LEIOPT563	GEO	0	UCEC	Solid Tumor	Reproductive System
UCEC_LEIO-PT845	LEIOPT845	GEO	0	UCEC	Solid Tumor	Reproductive System
UCEC_LEIO-PT848	LEIOPT848	GEO	0	UCEC	Solid Tumor	Reproductive System
UCEC_LEIO-PT886	LEIOPT886	GEO	0	UCEC	Solid Tumor	Reproductive System
UCEC_LEIO-PT916	LEIOPT916	GEO	0	UCEC	Solid Tumor	Reproductive System
UCEC_LEIO-PT967	LEIOPT967	GEO	0	UCEC	Solid Tumor	Reproductive System
UCEC_LEIO-PTc57	LEIOPTc57	GEO	0	UCEC	Solid Tumor	Reproductive System
UCEC_MYO_PT728	Myometrium	GEO	1	UCEC	Solid Tumor	Reproductive System
UCEC_MYO_PT758	Myometrium	GEO	1	UCEC	Solid Tumor	Reproductive System
UCEC_MYO-PT1063	Myometrium	GEO	1	UCEC	Solid Tumor	Reproductive System
UCEC_MYO-PT1113	Myometrium	GEO	1	UCEC	Solid Tumor	Reproductive System
UCEC_MYO-PT1119	Myometrium	GEO	1	UCEC	Solid Tumor	Reproductive System
UCEC_MYO-PT1123	Myometrium	GEO	1	UCEC	Solid Tumor	Reproductive System
UCEC_MYO-PT1151	Myometrium	GEO	1	UCEC	Solid Tumor	Reproductive System
UCEC_MYO-PT354	Myometrium	GEO	1	UCEC	Solid Tumor	Reproductive System
UCEC_MYO-PT563	Myometrium	GEO	1	UCEC	Solid Tumor	Reproductive System
UCEC_MYO-PT845	Myometrium	GEO	1	UCEC	Solid Tumor	Reproductive System
UCEC_MYO-PT848	Myometrium	GEO	1	UCEC	Solid Tumor	Reproductive System
UCEC_MYO-PT886	Myometrium	GEO	1	UCEC	Solid Tumor	Reproductive System
UCEC_MYO-PT916	Myometrium	GEO	1	UCEC	Solid Tumor	Reproductive System
UCEC_MYO-PT967	Myometrium	GEO	1	UCEC	Solid Tumor	Reproductive System
UCEC_MYO-PTc57	Myometrium	GEO	1	UCEC	Solid Tumor	Reproductive System
UWB1289	UWB1289	CCLE	0	OV	Solid Tumor	Reproductive System
VAESBJ	VAESBJ	CCLE	0	ES	Solid Tumor	Mesenchymal tumors
WERIRB1	WERIRB1	CCLE	0	RB	Solid Tumor	Central Nervous System
ZR7530	ZR7530	CCLE	0	BRCA	Solid Tumor	Reproductive System
