ncell	cancer	gse	cell	isctrl	depth	Cancer_Category	Origin
cervical_epithelial_cell	CESC	PRJCA001242	cervical_epithelial_cell	1	157609	Normal	Reproductive System
CHLA9	ES	GSE242273	CHLA9	0	76302790	Solid Tumor	Mesenchymal tumors
Chondrogenic_precursor	ES	GSE242273	Chondrogenic_precursor	1	250113089	Normal	Mesenchymal tumors
CLL_102	CLL	GSE163896	CLL_102	0	93875152	Hematological (Leukemia)	Hematological
CLL_312	CLL	GSE163896	CLL_312	0	108550378	Hematological (Leukemia)	Hematological
CLL_324	CLL	GSE163896	CLL_324	0	106606645	Hematological (Leukemia)	Hematological
CLL_344	CLL	GSE163896	CLL_344	0	87789602	Hematological (Leukemia)	Hematological
CLL_401	CLL	GSE163896	CLL_401	0	82745492	Hematological (Leukemia)	Hematological
CLL_484	CLL	GSE163896	CLL_484	0	86187609	Hematological (Leukemia)	Hematological
CRC15157	CRC	GSE207951	CRC15157	0	51809017	Solid Tumor	Digestive System
CRC19779	CRC	GSE207951	CRC19779	0	46479360	Solid Tumor	Digestive System
CRC25135	CRC	GSE207951	CRC25135	0	53388672	Solid Tumor	Digestive System
CRC25988	CRC	GSE207951	CRC25988	0	47713121	Solid Tumor	Digestive System
CRC26616	CRC	GSE207951	CRC26616	0	47999470	Solid Tumor	Digestive System
CRC8396	CRC	GSE207951	CRC8396	0	51099806	Solid Tumor	Digestive System
CUTLL1	TALL	GSE130140	CUTLL1	0	79685272	Hematological (Leukemia)	Hematological
CUTLL1_2	TALL	GSE134761	CUTLL1_1	0	56629698	Hematological (Leukemia)	Hematological
CUTLL1_3	TALL	GSE134761	CUTLL1_2	0	90596554	Hematological (Leukemia)	Hematological
D458	MB	GSE240410	D458	0	50247631	Solid Tumor	Central Nervous System
DAUDI	BL	GSE98120	Daudi	0	21178173	Hematological (Lymphoma)	Hematological
DIPG007	GBM	GSE162976	DIPG007	0	125390004	Solid Tumor	Central Nervous System
DIPG6	GBM	GSE146731	DIPG6_S1	0	67679021	Solid Tumor	Central Nervous System
DIPGXIII	GBM	GSE162976	DIPGXIII	0	115050513	Solid Tumor	Central Nervous System
DKO	CRC	GSE182105	DKO	0	151856833	Solid Tumor	Digestive System
DLBCL_patient	DLBCL	GSE168470	DLBCL_patient	0	62326757	Hematological (Lymphoma)	Hematological
DLD1	CRC	GSE160235	DLD-1_async	0	82186116	Solid Tumor	Digestive System
DLD1_2	CRC	GSE160235	DLD-1_G1	0	105761497	Solid Tumor	Digestive System
DLD1_3	CRC	GSE160235	DLD-1_reenter_sync	0	83031612	Solid Tumor	Digestive System
DLD1_4	CRC	GSE178593	DLD-1	0	67416227	Solid Tumor	Digestive System
DND41	TALL	GSE182682	DND41	0	115992659	Hematological (Leukemia)	Hematological
DU145	PRAD	GSE147123	DU-145	0	27812139	Solid Tumor	Reproductive System
DU145_2	PRAD	GSE172097	DU145	0	50093190	Solid Tumor	Reproductive System
DU4475	BRCA	GSE147123	DU4475	0	54025647	Solid Tumor	Reproductive System
FASR	BRCA	GSE118712	FASR	0	67765587	Solid Tumor	Reproductive System
FLT3-ITD	AML	GSE108303	FLT3-ITD_cHiC	0	49869119	Hematological (Leukemia)	Hematological
FT246	OV	GSE229408	FT246	1	138931648	Normal	Reproductive System
FT282	OV	GSE278254	FT282	1	27063295	Normal	Reproductive System
FT282_2	OV	GSE229408	FT282	1	118918279	Normal	Reproductive System
G1	GBM	GSE229962	G1	0	77870934	Solid Tumor	Central Nervous System
G120	GBM	GSE229962	G120	0	61558993	Solid Tumor	Central Nervous System
G148	GBM	GSE229962	G148	0	69726610	Solid Tumor	Central Nervous System
G163	GBM	GSE229962	G163	0	57591352	Solid Tumor	Central Nervous System
G171	GBM	GSE229962	G171	0	64716915	Solid Tumor	Central Nervous System
G181	GBM	GSE229962	G181	0	39183198	Solid Tumor	Central Nervous System
G208	GBM	GSE229962	G208	0	119819965	Solid Tumor	Central Nervous System
G213	GBM	GSE229962	G213	0	119452552	Solid Tumor	Central Nervous System
G23	GBM	GSE229962	G23	0	98596757	Solid Tumor	Central Nervous System
G275	GBM	GSE229962	G275	0	70724407	Solid Tumor	Central Nervous System
G275R	GBM	GSE229962	G275R	0	53596605	Solid Tumor	Central Nervous System
G28	GBM	GSE229962	G28	0	51112218	Solid Tumor	Central Nervous System
G318	GBM	GSE229962	G318	0	63223945	Solid Tumor	Central Nervous System
G323	GBM	GSE229962	G323	0	74101456	Solid Tumor	Central Nervous System
G351	GBM	GSE229962	G351	0	88953761	Solid Tumor	Central Nervous System
G390	GBM	GSE229962	G390	0	60626339	Solid Tumor	Central Nervous System
G394	GBM	GSE229962	G394	0	78215301	Solid Tumor	Central Nervous System
G402	GBM	GSE229962	G402	0	80998968	Solid Tumor	Central Nervous System
G402R	GBM	GSE229962	G402R	0	100058689	Solid Tumor	Central Nervous System
G412	GBM	GSE229962	G412	0	60702035	Solid Tumor	Central Nervous System
G412R	GBM	GSE229962	G412R	0	76190609	Solid Tumor	Central Nervous System
G450	GBM	GSE229962	G450	0	76779679	Solid Tumor	Central Nervous System
G452C	GBM	GSE229962	G452C	0	70752483	Solid Tumor	Central Nervous System
G452P	GBM	GSE229962	G452P	0	74464659	Solid Tumor	Central Nervous System
G457	GBM	GSE229962	G457	0	56635589	Solid Tumor	Central Nervous System
G477	GBM	GSE146731	G477_S1	0	44585640	Solid Tumor	Central Nervous System
G523	GBM	GSE162976	G523	0	181306968	Solid Tumor	Central Nervous System
G567	GBM	GSE162976	G567	0	141767541	Solid Tumor	Central Nervous System
G583	GBM	GSE162976	G583	0	185319821	Solid Tumor	Central Nervous System
G61	GBM	GSE229962	G61	0	56665723	Solid Tumor	Central Nervous System
G62	GBM	GSE229962	G62	0	61228988	Solid Tumor	Central Nervous System
G83	GBM	GSE229962	G83	0	69083555	Solid Tumor	Central Nervous System
GB176	GBM	GSE81879	GB176	0	9921127	Solid Tumor	Central Nervous System
GB180	GBM	GSE81879	GB180	0	8904520	Solid Tumor	Central Nervous System
GB182	GBM	GSE81879	GB182	0	8879011	Solid Tumor	Central Nervous System
GB183	GBM	GSE81879	GB183	0	6994386	Solid Tumor	Central Nervous System
GB238	GBM	GSE81879	GB238	0	8780186	Solid Tumor	Central Nervous System
Germinal_Center_B-cells	DLBCL	GSE168470	Germinal_Center_B-cells	1	26844021	Normal	Hematological
GES1	GC	GSE135941	GES-1	1	50779991	Normal	Digestive System
GES1_2	GC	GSE135941	GES-1_ctrl	1	65932526	Normal	Digestive System
GIMEN	NB	GSE214792	GI-MEN	0	6392942	Solid Tumor	Central Nervous System
GM02052	MEL	GSE136899	GM02052	1	39617002	Normal	Neural crest derived tumors
GM12878	ALL	GSE145997	GM12878	0	148618721	Hematological (Leukemia)	Hematological
GM12878_2	B-ALL	GSE136904	GM12878	0	66686108	Hematological (Leukemia)	Hematological
GM12878_3	MM	GSE100832	GM12878	0	69175696	Hematological (Leukemia)	Hematological
GRANTA452	MCL	GSE147123	Granta	0	25186223	Hematological (Lymphoma)	Hematological
H4	GBM	GSE240343	H4	0	56642938	Solid Tumor	Central Nervous System
HaCaT_Keratinocyte	MEL	GSE151193	HaCaT_Keratinocyte	1	30538398	Normal	Neural crest derived tumors
HAP1	CML	GSE180922	HAP1	0	108456301	Hematological (Leukemia)	Hematological
HAP1_2	CML	GSE182500	HAP1	0	111644872	Hematological (Leukemia)	Hematological
HCC1187	BRCA	GSE147123	HCC1187	0	70847790	Solid Tumor	Reproductive System
HCC1569	BRCA	GSE147123	HCC1569	0	52913057	Solid Tumor	Reproductive System
HCC1599	BRCA	GSE147123	HCC1599	0	51636800	Solid Tumor	Reproductive System
HCC1806	BRCA	GSE147123	HCC1806	0	25318569	Solid Tumor	Reproductive System
HCC1937	BRCA	GSE147123	HCC1937	0	20384560	Solid Tumor	Reproductive System
HCC1954	BRCA	GSE167150	HCC1954	0	65219043	Solid Tumor	Reproductive System
HCC2157	BRCA	GSE147123	HCC2157	0	30584485	Solid Tumor	Reproductive System
HCC2218	BRCA	GSE147123	HCC2218	0	9620147	Solid Tumor	Reproductive System
HCC364	NSCLC	GSE292519	HCC364	0	39069201	Solid Tumor	Epithelial tumors
HCC38	BRCA	GSE147123	HCC38	0	37772308	Solid Tumor	Reproductive System
HCC70	BRCA	GSE147123	HCC70	0	48021290	Solid Tumor	Reproductive System
HCC70_2	BRCA	GSE167150	HCC70	0	68203649	Solid Tumor	Reproductive System
HCT116	CRC	GSE160235	HCT116	0	105460956	Solid Tumor	Digestive System
HCT116_2	CRC	GSE182105	HCT116	0	67714680	Solid Tumor	Digestive System
HEK293	RCC	GSE233166	HEK293	1	22025717	Normal	Urinary System
HEK293T	RCC	GSE233166	HEK293T	1	38171684	Normal	Urinary System
HELA	CESC	GSE102884	HeLa	0	16670740	Solid Tumor	Reproductive System
HELA_10	CESC	GSE119825	HeLa_clone26a_mitotic	0	16801688	Solid Tumor	Reproductive System
HELA_11	CESC	GSE119825	HeLa_clone27b	0	16139036	Solid Tumor	Reproductive System
HELA_12	CESC	GSE119825	HeLa_clone27b_mitotic	0	20084019	Solid Tumor	Reproductive System
HELA_13	CESC	GSE119825	HeLa_clone27k_async	0	14803839	Solid Tumor	Reproductive System
HELA_14	CESC	GSE119825	HeLa_clone27k_mitotic	0	18952620	Solid Tumor	Reproductive System
HELA_15	CESC	GSE138405	HeLa_G1_HindIII	0	19601891	Solid Tumor	Reproductive System
HELA_16	CESC	GSE138405	HeLa_G1_MboI	0	100873797	Solid Tumor	Reproductive System
HELA_18	CESC	GSE152373	HeLa_G1	0	13302214	Solid Tumor	Reproductive System
HELA_19	CESC	GSE152373	HeLa_G1_4sT	0	15019394	Solid Tumor	Reproductive System
HELA_2	CESC	GSE102884	HeLa_CTCF-AID_auxin	0	13117919	Solid Tumor	Reproductive System
HELA_20	CESC	GSE152373	HeLa_G1label	0	10922631	Solid Tumor	Reproductive System
HELA_21	CESC	GSE152373	HeLa_G2	0	133290406	Solid Tumor	Reproductive System
HELA_22	CESC	GSE152373	HeLa_Prometa	0	36857780	Solid Tumor	Reproductive System
HELA_24	CESC	GSE173781	HeLa	0	36548192	Solid Tumor	Reproductive System
HELA_25	CESC	GSE183186	HeLa-S3	0	86509889	Solid Tumor	Reproductive System
HELA_3	CESC	GSE102884	HeLa_G1	0	19601891	Solid Tumor	Reproductive System
HELA_4	CESC	GSE102884	HeLa_G2	0	22323881	Solid Tumor	Reproductive System
HELA_5	CESC	GSE102884	HeLa_Prometa	0	21336066	Solid Tumor	Reproductive System
HELA_6	CESC	GSE102884	HeLa_S	0	25068983	Solid Tumor	Reproductive System
HELA_7	CESC	GSE102884	HeLa_Scc1-AID_auxin	0	34496124	Solid Tumor	Reproductive System
HELA_8	CESC	GSE114539	HeLa	0	17197604	Solid Tumor	Reproductive System
HELA_9	CESC	GSE119825	HeLa_clone26a_async	0	17884138	Solid Tumor	Reproductive System
HEPG2	HCC	GSE113405	HepG2	0	52814764	Solid Tumor	Digestive System
HEPG2_2	HCC	GSE35585	HepG2_ENCLB009YAO	0	47774912	Solid Tumor	Digestive System
HEPG2_3	HCC	GSE35585	HepG2_ENCLB567NSJ	0	71474623	Solid Tumor	Digestive System
HEPG2_4	HCC	GSE35585	HepG2_ENCLB740OBC	0	36726562	Solid Tumor	Digestive System
HEPG2_5	HCC	GSE59395	HepG2	0	433660940	Solid Tumor	Digestive System
HEYA8	OV	GSE201878	HEYA8	0	200090883	Solid Tumor	Reproductive System
HFE145	GC	GSE135941	HFE145	0	59708567	Solid Tumor	Digestive System
HK1	NPC	GSE166570	HK1	0	72210177	Solid Tumor	Epithelial tumors
HK1_2	NPC	GSE166570	NPC	0	85007359	Solid Tumor	Epithelial tumors
HL60	AML	GSE115633	HL-60_S4	0	123756469	Hematological (Leukemia)	Hematological
HL60_2	AML	GSE120815	HL-60_S4	0	14969491	Hematological (Leukemia)	Hematological
HL60_3	AML	GSE131580	HL-60	0	388243640	Hematological (Leukemia)	Hematological
HL60_4	AML	GSE147123	HL-60	0	46128057	Hematological (Leukemia)	Hematological
HL60_5	AML	GSE93995	HL-60	0	45526275	Hematological (Leukemia)	Hematological
HS578T	BRCA	GSE147123	HS578T	0	26269371	Solid Tumor	Reproductive System
HSJD-GBM002	GBM	GSE146731	HSJD-GBM002	0	80630654	Solid Tumor	Central Nervous System
HT1080	FSA	GSE261834	HT1080	0	3290683	Solid Tumor	Mesenchymal tumors
HT1376	BLCA	GSE148079	HT1376	0	133936380	Solid Tumor	Urinary System
Hypertrophic_chondrocyte	ES	GSE242273	Hypertrophic_chondrocyte	1	265213214	Normal	Mesenchymal tumors
IM95	GC	GSE135941	IM95	0	58593680	Solid Tumor	Digestive System
induced_pluripotent_stem_cell_muscle_progenitor_P3F1	RMS	GSE253894	induced_pluripotent_stem_cell_muscle_progenitor_P3F1	0	30549026	Solid Tumor	Mesenchymal tumors
induced_pluripotent_stem_cell_muscle_progenitor_P7F1	RMS	GSE253894	induced_pluripotent_stem_cell_muscle_progenitor_P7F1	0	33295728	Solid Tumor	Mesenchymal tumors
induced_pluripotent_stem_cell_muscle_progenitor_WT	RMS	GSE253894	induced_pluripotent_stem_cell_muscle_progenitor_WT	1	36012022	Normal	Mesenchymal tumors
iPSC	GBM	ENCODE	iPSC	1	753344180	Normal	Central Nervous System
iPSC_2	GBM	GSE220103	iPSC	1	56613864	Normal	Central Nervous System
JEKO1	MCL	GSE147123	Jeko1	0	53380235	Hematological (Lymphoma)	Hematological
JURKAT	TALL	GSE130140	Jurkat	0	86495541	Hematological (Leukemia)	Hematological
JURKAT_2	TALL	GSE134761	Jurkat	0	53841430	Hematological (Leukemia)	Hematological
JURKAT_3	TALL	GSE147123	Jurkat	0	35368391	Hematological (Leukemia)	Hematological
KBM7	CML	GSE137372	KBM7	0	29034299	Hematological (Leukemia)	Hematological
KBM7_2	CML	GSE137373	KBM7	0	4775128	Hematological (Leukemia)	Hematological
KNS42	GBM	GSE146731	KNS-42	0	129964331	Solid Tumor	Central Nervous System
KURAMOCHI	OV	GSE229408	KURAMOCHI	0	119102522	Solid Tumor	Reproductive System
LEIOPT1063	UCEC	GSE128234	LEIO-PT1063	0	27381944	Solid Tumor	Reproductive System
LEIOPT848	UCEC	GSE128234	LEIO-PT848	0	30692394	Solid Tumor	Reproductive System
LEIOPT886	UCEC	GSE128234	LEIO-PT886	0	37577739	Solid Tumor	Reproductive System
LEIOPT916	UCEC	GSE128234	LEIO-PT916	0	32268413	Solid Tumor	Reproductive System
LEIOPT967	UCEC	GSE128234	LEIO-PT967	0	34262178	Solid Tumor	Reproductive System
LNCAPCLONEFGC	PRAD	GSE105557	LNCaP	0	105530756	Solid Tumor	Reproductive System
LNCAPCLONEFGC_2	PRAD	GSE125640	LNCaP	0	43353650	Solid Tumor	Reproductive System
LNCAPCLONEFGC_3	PRAD	GSE161493	LNCaP	0	134602997	Solid Tumor	Reproductive System
LNCAPCLONEFGC_4	PRAD	GSE172097	LNCaP	0	24869579	Solid Tumor	Reproductive System
LNCAPCLONEFGC_5	PRAD	GSE268339	LNCaP	0	47866071	Solid Tumor	Reproductive System
LNCAPCLONEFGC_6	PRAD	GSE73782	LNCaP	0	156304599	Solid Tumor	Reproductive System
mammary_epithelial	BRCA	GSE167150	mammary_epithelial	1	47661790	Normal	Reproductive System
MAVER1	MCL	GSE147123	Maver-1	0	39570549	Hematological (Lymphoma)	Hematological
MB102	MB	GSE240410	MB102	0	75230739	Solid Tumor	Central Nervous System
MB106	MB	GSE240410	MB106	0	93829458	Solid Tumor	Central Nervous System
MB164	MB	GSE240410	MB164	0	78523190	Solid Tumor	Central Nervous System
MB174	MB	GSE240410	MB174	0	63176424	Solid Tumor	Central Nervous System
MB199	MB	GSE240410	MB199	0	55940643	Solid Tumor	Central Nervous System
MB227	MB	GSE240410	MB227	0	71540538	Solid Tumor	Central Nervous System
MB234	MB	GSE240410	MB234	0	62153159	Solid Tumor	Central Nervous System
MB244	MB	GSE240410	MB244	0	46154302	Solid Tumor	Central Nervous System
MB248	MB	GSE240410	MB248	0	193856016	Solid Tumor	Central Nervous System
MB264	MB	GSE240410	MB264	0	61236715	Solid Tumor	Central Nervous System
MB268	MB	GSE240410	MB268	0	60645646	Solid Tumor	Central Nervous System
MB274	MB	GSE240410	MB274	0	38206139	Solid Tumor	Central Nervous System
MB275	MB	GSE240410	MB275	0	6758491	Solid Tumor	Central Nervous System
MB277	MB	GSE240410	MB277	0	43957899	Solid Tumor	Central Nervous System
MB288	MB	GSE240410	MB288	0	249898904	Solid Tumor	Central Nervous System
MCF10A	BRCA	GSE109229	MCF10	1	70991098	Normal	Reproductive System
MCF10A_2	BRCA	GSE165570	MCF10A	1	29036598	Normal	Reproductive System
MCF10A_3	BRCA	GSE98552	MCF10AT1	0	106209999	Solid Tumor	Reproductive System
MCF10A_4	BRCA	GSE98552	MCF10CA1a	0	139443807	Solid Tumor	Reproductive System
MCF7	BRCA	GSE109229	MCF7	0	51221761	Solid Tumor	Reproductive System
MCF7_10	BRCA	GSE195810	MCF7TR	0	28255439	Solid Tumor	Reproductive System
MCF7_11	BRCA	GSE205874	MCF7	0	106959988	Solid Tumor	Reproductive System
MCF7_12	BRCA	GSE237722	MCF7	0	168325539	Solid Tumor	Reproductive System
MCF7_13	BRCA	GSE51687	MCF7	0	330611	Solid Tumor	Reproductive System
MCF7_14	BRCA	GSE66733	MCF7	0	99453355	Solid Tumor	Reproductive System
MCF7_15	BRCA	GSE68858	MCF7	0	13642081	Solid Tumor	Reproductive System
MCF7_16	BRCA	GSE75070	MCF7	0	82832495	Solid Tumor	Reproductive System
MCF7_2	BRCA	GSE118712	MCF7	0	98667744	Solid Tumor	Reproductive System
MCF7_3	BRCA	GSE121443	MCF7	0	16552070	Solid Tumor	Reproductive System
MCF7_4	BRCA	GSE130916	MCF7	0	30433879	Solid Tumor	Reproductive System
MCF7_5	BRCA	GSE144377	MCF7L	0	73584642	Solid Tumor	Reproductive System
MCF7_6	BRCA	GSE165570	MCF7	0	69076036	Solid Tumor	Reproductive System
MCF7_7	BRCA	GSE165570	MCF7TR	0	46254032	Solid Tumor	Reproductive System
MCF7_8	BRCA	GSE195810	MCF7	0	73584642	Solid Tumor	Reproductive System
MCF7_9	BRCA	GSE195810	MCF7M1	0	692282	Solid Tumor	Reproductive System
MDAMB231	BRCA	GSE124409	MDA-MB-231	0	36053934	Solid Tumor	Reproductive System
MDAMB231_2	BRCA	GSE143676	MDA-MB-231_bot5	0	47877602	Solid Tumor	Reproductive System
MDAMB231_3	BRCA	GSE143676	MDA-MB-231_ctrl	0	44256621	Solid Tumor	Reproductive System
MDAMB231_4	BRCA	GSE143676	MDA-MB-231_top5	0	41904225	Solid Tumor	Reproductive System
MDAMB436	BRCA	GSE234323	MDA-MB-436	0	221725301	Solid Tumor	Reproductive System
MDAMB468	BRCA	GSE147123	MDA-MB-468	0	52803176	Solid Tumor	Reproductive System
MDAMD231	BRCA	GSE147123	MDA-MD-231	0	28301956	Solid Tumor	Reproductive System
MDAMD436	BRCA	GSE147123	MDA-MD-436	0	22134274	Solid Tumor	Reproductive System
MDAPCa2a	PRAD	GSE172097	MDAPCa2a	0	61541994	Solid Tumor	Reproductive System
MDAPCa2b	PRAD	GSE172097	MDAPCa2b	0	50683785	Solid Tumor	Reproductive System
melanoma	MEL	GSE186055	melanoma	0	38928993	Solid Tumor	Neural crest derived tumors
