ncell	cancer	gse	cell	isctrl	depth	Cancer_Category	Origin
P530_SF12822v14	GBM	EGAD00001010312	P530_SF12822v14	0	104309723	Solid Tumor	Central Nervous System
P530_SF12822v15	GBM	EGAD00001010312	P530_SF12822v15	0	102347291	Solid Tumor	Central Nervous System
P530_SF12822v18	GBM	EGAD00001010312	P530_SF12822v18	0	178359695	Solid Tumor	Central Nervous System
P530_SF12822v19	GBM	EGAD00001010312	P530_SF12822v19	0	142532003	Solid Tumor	Central Nervous System
P530_SF12822v2	GBM	EGAD00001010312	P530_SF12822v2	0	104131761	Solid Tumor	Central Nervous System
P530_SF12822v4	GBM	EGAD00001010312	P530_SF12822v4	0	184809811	Solid Tumor	Central Nervous System
P530_SF12822v5	GBM	EGAD00001010312	P530_SF12822v5	0	151612541	Solid Tumor	Central Nervous System
PBMC	AML	GSE152136	PBMC_BM1	1	151426030	Normal	Hematological
PBMC_2	AML	GSE152136	PBMC_BM2	1	134805051	Normal	Hematological
PBMC_3	AML	GSE152136	PBMC_BM3	1	183763252	Normal	Hematological
PC3	PRAD	GSE172097	PC-3	0	50941199	Solid Tumor	Reproductive System
PC3_2	PRAD	GSE73782	PC3	0	53286377	Solid Tumor	Reproductive System
PCGBM2	GBM	GSE146731	PCGBM2_S1	0	19783398	Solid Tumor	Central Nervous System
PEO1	OV	GSE201878	PEO1	0	230758683	Solid Tumor	Reproductive System
PHH	HCC	GSE298819	PHH	1	4692479	Normal	Digestive System
PRECLH	PRAD	GSE73782	PrEC	1	172991193	Normal	Reproductive System
primary_EBVp_GC_tissue	GC	GSE135941	primary_EBVp_GC_tissue	0	93683857	Solid Tumor	Digestive System
primary_TALL_cells	TALL	GSE134761	primary_TALL_cells	0	171241983	Hematological (Leukemia)	Hematological
Proliferating_chondrocyte	ES	GSE242273	Proliferating_chondrocyte	1	163610352	Normal	Mesenchymal tumors
PS10801	GBM	GSE146731	PS10-801	0	32885651	Solid Tumor	Central Nervous System
RAJI	BL	GSE98120	Raji	0	30640229	Hematological (Lymphoma)	Hematological
REC1	MCL	GSE147123	Rec-1	0	50980097	Hematological (Lymphoma)	Hematological
REC1_2	MCL	GSE268226	REC-1	0	73573586	Hematological (Lymphoma)	Hematological
REH	B-ALL	GSE190843	Reh	0	24199666	Hematological (Leukemia)	Hematological
RPMI7951	MEL	GSE59395	RPMI-7951	0	110060144	Solid Tumor	Neural crest derived tumors
RPMI8226	MM	GSE100832	RPMI-8226	0	55121198	Hematological (Leukemia)	Hematological
RPMI8226_2	MM	GSE87585	RPMI-8226_HindIII	0	52418459	Hematological (Leukemia)	Hematological
RPMI8226_3	MM	GSE87585	RPMI-8226_MboI	0	32424774	Hematological (Leukemia)	Hematological
RPMI8402	TALL	GSE147123	RPMI-8402	0	32635355	Hematological (Leukemia)	Hematological
RT4	BLCA	GSE148079	RT4	0	183631955	Solid Tumor	Urinary System
SCABER	BLCA	GSE148079	SCABER	0	34139940	Solid Tumor	Urinary System
SF3B1	CESC	GSE114539	SF3B1	0	19244674	Solid Tumor	Reproductive System
SF9427	GBM	GSE162976	SF9427	0	134219700	Solid Tumor	Central Nervous System
SHSY5Y	NB	GSE252149	SH-SY5Y	0	16303972	Solid Tumor	Central Nervous System
SHSY5Y_2	NB	GSE252149	SH-SY5Y_TOP2BKO	0	15805048	Solid Tumor	Central Nervous System
SHYSY5Y	NB	GSE129732	SHY_neuroblasts	0	59673280	Solid Tumor	Central Nervous System
SJCRH30	RMS	GSE59395	SJCRH30	0	6902835	Solid Tumor	Mesenchymal tumors
SKBR3	BRCA	GSE109229	SKBR3	0	57759118	Solid Tumor	Reproductive System
SKNDZ	NB	GSE105275	SK-N-DZ	0	44628390	Solid Tumor	Central Nervous System
SKNDZ_2	NB	GSE147123	SK-N-DZ	0	50464135	Solid Tumor	Central Nervous System
SKNMC_2	NB	GSE59395	SK-N-MC	0	125589518	Solid Tumor	Central Nervous System
SKNSH	NB	GSE115862	SKNSH	0	6879800	Solid Tumor	Central Nervous System
SKNSH_2	NB	GSE115862	SKNSHadel1r	0	7791959	Solid Tumor	Central Nervous System
SKOV3	OV	GSE147123	SK-OV-3	0	29271825	Solid Tumor	Reproductive System
