avgGenomicDist	contactProbability	standardError	noOfLocusPairs	totalOfContactCounts
10000	6.73e-08	0.00e+00	617617	938453
15000	3.89e-08	0.00e+00	617593	541729
22499	2.42e-08	0.00e+00	1235114	673907
32499	1.60e-08	0.00e+00	1235018	444771
44999	1.14e-08	0.00e+00	1852347	477602
62499	8.39e-09	0.00e+00	2469460	467307
84999	6.37e-09	0.00e+00	3086285	443698
114999	4.98e-09	0.00e+00	4319791	485619
152498	4.05e-09	0.00e+00	4935464	451022
194998	3.47e-09	0.00e+00	5550561	434006
244998	3.06e-09	0.00e+00	6781379	467679
302497	2.76e-09	0.00e+00	7394556	461028
364997	2.55e-09	0.00e+00	8006869	461048
429997	2.39e-09	0.00e+00	8002813	432351
497496	2.26e-09	0.00e+00	8613878	438799
569996	2.15e-09	0.00e+00	9223935	446550
644996	2.05e-09	0.00e+00	9218535	426680
722495	1.98e-09	0.00e+00	9827152	438463
804995	1.89e-09	0.00e+00	10434617	444961
889995	1.83e-09	0.00e+00	10427681	429908
977494	1.76e-09	0.00e+00	11033514	437979
1069994	1.70e-09	0.00e+00	11638051	446768
1164994	1.65e-09	0.00e+00	11629387	432730
1262493	1.60e-09	0.00e+00	12232100	441075
1362493	1.55e-09	0.00e+00	12222500	426758
1464992	1.50e-09	0.00e+00	12823293	434042
1572492	1.46e-09	0.00e+00	13422574	440964
1682492	1.42e-09	0.00e+00	13410958	429571
1794991	1.38e-09	0.00e+00	14008127	435456
1909991	1.34e-09	0.00e+00	13995431	422698
2027490	1.31e-09	0.00e+00	14590392	430520
2149989	1.28e-09	0.00e+00	15183625	436841
2274989	1.24e-09	0.00e+00	15168625	425264
2402488	1.21e-09	0.00e+00	15759458	429851
2532488	1.18e-09	0.00e+00	15743234	418227
2664987	1.15e-09	0.00e+00	16331571	423102
2802487	1.12e-09	0.00e+00	16917964	428386
2944986	1.09e-09	0.00e+00	17502341	431411
3089986	1.06e-09	0.00e+00	17482157	419945
3237485	1.04e-09	0.00e+00	18063750	422876
3389984	1.01e-09	0.00e+00	18643183	426028
3544984	9.90e-10	0.00e+00	18620119	416158
3702482	9.66e-10	0.00e+00	19196576	418421
3864981	9.44e-10	0.00e+00	19770729	421310
4032480	9.21e-10	0.00e+00	20342506	422535
4202480	8.98e-10	0.00e+00	20314762	411742
4374979	8.78e-10	0.00e+00	20883275	413754
4552478	8.58e-10	0.00e+00	21449268	415139
4732478	8.35e-10	0.00e+00	21418164	403394
4912478	8.20e-10	0.00e+00	21387060	395833
