SampleID,Tissue,Factor,Condition,Treatment,Replicate,bamReads,ControlID,bamControl,Peaks,PeakCaller
SRR21152084,batch1,none,DGC,untreated,1,/cluster/home/futing/Project/GBM/legency/gsc/h3k27ac/PE/bam_files/SRR21152084.rmdup_sorted.bam,SRR21152087,/cluster/home/futing/Project/GBM/legency/gsc/h3k27ac/PE/bam_files/SRR21152087.rmdup_sorted.bam,/cluster/home/futing/Project/GBM/legency/gsc/h3k27ac/PE/macs2/SRR21152084_peaks.broadPeak,bed
SRR21152089,batch1,none,GSC,untreated,1,/cluster/home/futing/Project/GBM/legency/gsc/h3k27ac/PE/bam_files/SRR21152089.rmdup_sorted.bam,SRR21152092,/cluster/home/futing/Project/GBM/legency/gsc/h3k27ac/PE/bam_files/SRR21152092.rmdup_sorted.bam,/cluster/home/futing/Project/GBM/legency/gsc/h3k27ac/PE/macs2/SRR21152089_peaks.broadPeak,bed
SRR5278783,batch2,none,GSC,untreated,1,/cluster/home/futing/Project/GBM/legency/gsc/h3k27ac/PE/bam_files/SRR5278783.rmdup_sorted.bam,SRR5278910,/cluster/home/futing/Project/GBM/legency/gsc/h3k27ac/SE/bam_files/SRR5278910.rmdup_sorted.bam,/cluster/home/futing/Project/GBM/legency/gsc/h3k27ac/PE/macs2/SRR5278783_peaks.broadPeak,bed
SRR5278784,batch2,none,DGC,untreated,1,/cluster/home/futing/Project/GBM/legency/gsc/h3k27ac/PE/bam_files/SRR5278784.rmdup_sorted.bam,SRR5278910,/cluster/home/futing/Project/GBM/legency/gsc/h3k27ac/SE/bam_files/SRR5278910.rmdup_sorted.bam,/cluster/home/futing/Project/GBM/legency/gsc/h3k27ac/PE/macs2/SRR5278784_peaks.broadPeak,bed
SRR8863352,batch3,none,GSC,untreated,1,/cluster/home/futing/Project/GBM/legency/gsc/h3k27ac/SE/bam_files/SRR8863352.rmdup_sorted.bam,NA,NA,/cluster/home/futing/Project/GBM/legency/gsc/h3k27ac/SE/macs2/SRR8863352_peaks.broadPeak,bed
SRR8863353,batch3,none,DGC,untreated,1,/cluster/home/futing/Project/GBM/legency/gsc/h3k27ac/SE/bam_files/SRR8863353.rmdup_sorted.bam,NA,NA,/cluster/home/futing/Project/GBM/legency/gsc/h3k27ac/SE/macs2/SRR8863353_peaks.broadPeak,bed
SRR8863354,batch3,none,GSC,untreated,1,/cluster/home/futing/Project/GBM/legency/gsc/h3k27ac/SE/bam_files/SRR8863354.rmdup_sorted.bam,NA,NA,/cluster/home/futing/Project/GBM/legency/gsc/h3k27ac/SE/macs2/SRR8863354_peaks.broadPeak,bed
SRR8863355,batch3,none,DGC,untreated,1,/cluster/home/futing/Project/GBM/legency/gsc/h3k27ac/SE/bam_files/SRR8863355.rmdup_sorted.bam,NA,NA,/cluster/home/futing/Project/GBM/legency/gsc/h3k27ac/SE/macs2/SRR8863355_peaks.broadPeak,bed
