"sample"	"V3"	"id"	"group"
"Tophat_P455SF11901v6.accepted_hits.genes.results"	"P455.SF11901v6"	"P455.SF11901v6"	"P455.SF11901"
"Tophat_P455SF11901v7.accepted_hits.genes.results"	"P455.SF11901v7"	"P455.SF11901v7"	"P455.SF11901"
"Tophat_P455SF11901v8.accepted_hits.genes.results"	"P455.SF11901v8"	"P455.SF11901v8"	"P455.SF11901"
"Tophat_P455SF11901v9.accepted_hits.genes.results"	"P455.SF11901v9"	"P455.SF11901v9"	"P455.SF11901"
"Tophat_P475SF12180v1.accepted_hits.genes.results"	"P475.SF12180v1"	"P475.SF12180v1"	"P475.SF12180"
"Tophat_P475SF12180v2.accepted_hits.genes.results"	"P475.SF12180v2"	"P475.SF12180v2"	"P475.SF12180"
"Tophat_P475SF12180v3.accepted_hits.genes.results"	"P475.SF12180v3"	"P475.SF12180v3"	"P475.SF12180"
"Tophat_P475SF12180v4.accepted_hits.genes.results"	"P475.SF12180v4"	"P475.SF12180v4"	"P475.SF12180"
"Tophat_P475SF12180v5.accepted_hits.genes.results"	"P475.SF12180v5"	"P475.SF12180v5"	"P475.SF12180"
"Tophat_P475SF12180v6.accepted_hits.genes.results"	"P475.SF12180v6"	"P475.SF12180v6"	"P475.SF12180"
"Tophat_P475SF12180v7.accepted_hits.genes.results"	"P475.SF12180v7"	"P475.SF12180v7"	"P475.SF12180"
"Tophat_P475SF12180v8.accepted_hits.genes.results"	"P475.SF12180v8"	"P475.SF12180v8"	"P475.SF12180"
"Tophat_P498SF12251v1.accepted_hits.genes.results"	"P498.SF12251v1"	"P498.SF12251v1"	"P498.SF12251"
"Tophat_P498SF12251v10.accepted_hits.genes.results"	"P498.SF12251v10"	"P498.SF12251v10"	"P498.SF12251"
"Tophat_P498SF12251v2.accepted_hits.genes.results"	"P498.SF12251v2"	"P498.SF12251v2"	"P498.SF12251"
"Tophat_P498SF12251v3.accepted_hits.genes.results"	"P498.SF12251v3"	"P498.SF12251v3"	"P498.SF12251"
"Tophat_P498SF12251v4.accepted_hits.genes.results"	"P498.SF12251v4"	"P498.SF12251v4"	"P498.SF12251"
"Tophat_P498SF12251v5.accepted_hits.genes.results"	"P498.SF12251v5"	"P498.SF12251v5"	"P498.SF12251"
"Tophat_P498SF12251v7.accepted_hits.genes.results"	"P498.SF12251v7"	"P498.SF12251v7"	"P498.SF12251"
"Tophat_P498SF12251v8.accepted_hits.genes.results"	"P498.SF12251v8"	"P498.SF12251v8"	"P498.SF12251"
"Tophat_P498SF12251v9.accepted_hits.genes.results"	"P498.SF12251v9"	"P498.SF12251v9"	"P498.SF12251"
"Tophat_P503SF12518v1.accepted_hits.genes.results"	"P503.SF12518v1"	"P503.SF12518v1"	"P503.SF12518"
"Tophat_P503SF12518v10.accepted_hits.genes.results"	"P503.SF12518v10"	"P503.SF12518v10"	"P503.SF12518"
"Tophat_P503SF12518v2.accepted_hits.genes.results"	"P503.SF12518v2"	"P503.SF12518v2"	"P503.SF12518"
"Tophat_P503SF12518v3.accepted_hits.genes.results"	"P503.SF12518v3"	"P503.SF12518v3"	"P503.SF12518"
"Tophat_P503SF12518v4.accepted_hits.genes.results"	"P503.SF12518v4"	"P503.SF12518v4"	"P503.SF12518"
"Tophat_P503SF12518v5.accepted_hits.genes.results"	"P503.SF12518v5"	"P503.SF12518v5"	"P503.SF12518"
"Tophat_P503SF12518v6.accepted_hits.genes.results"	"P503.SF12518v6"	"P503.SF12518v6"	"P503.SF12518"
"Tophat_P503SF12518v7.accepted_hits.genes.results"	"P503.SF12518v7"	"P503.SF12518v7"	"P503.SF12518"
"Tophat_P503SF12518v8.accepted_hits.genes.results"	"P503.SF12518v8"	"P503.SF12518v8"	"P503.SF12518"
"Tophat_P503SF12518v9.accepted_hits.genes.results"	"P503.SF12518v9"	"P503.SF12518v9"	"P503.SF12518"
"Tophat_P519SF12601v1.accepted_hits.genes.results"	"P519.SF12601v1"	"P519.SF12601v1"	"P519.SF12601"
"Tophat_P519SF12601v10.accepted_hits.genes.results"	"P519.SF12601v10"	"P519.SF12601v10"	"P519.SF12601"
"Tophat_P519SF12601v2.accepted_hits.genes.results"	"P519.SF12601v2"	"P519.SF12601v2"	"P519.SF12601"
"Tophat_P519SF12601v3.accepted_hits.genes.results"	"P519.SF12601v3"	"P519.SF12601v3"	"P519.SF12601"
"Tophat_P519SF12601v4.accepted_hits.genes.results"	"P519.SF12601v4"	"P519.SF12601v4"	"P519.SF12601"
"Tophat_P519SF12601v5.accepted_hits.genes.results"	"P519.SF12601v5"	"P519.SF12601v5"	"P519.SF12601"
"Tophat_P519SF12601v6.accepted_hits.genes.results"	"P519.SF12601v6"	"P519.SF12601v6"	"P519.SF12601"
"Tophat_P519SF12601v7.accepted_hits.genes.results"	"P519.SF12601v7"	"P519.SF12601v7"	"P519.SF12601"
"Tophat_P519SF12601v8.accepted_hits.genes.results"	"P519.SF12601v8"	"P519.SF12601v8"	"P519.SF12601"
"Tophat_P519SF12601v9.accepted_hits.genes.results"	"P519.SF12601v9"	"P519.SF12601v9"	"P519.SF12601"
"Tophat_P521SF12631v1.accepted_hits.genes.results"	"P521.SF12631v1"	"P521.SF12631v1"	"P521.SF12631"
"Tophat_P521SF12631v2.accepted_hits.genes.results"	"P521.SF12631v2"	"P521.SF12631v2"	"P521.SF12631"
"Tophat_P521SF12631v3.accepted_hits.genes.results"	"P521.SF12631v3"	"P521.SF12631v3"	"P521.SF12631"
"Tophat_P521SF12631v4.accepted_hits.genes.results"	"P521.SF12631v4"	"P521.SF12631v4"	"P521.SF12631"
"Tophat_P521SF12631v5.accepted_hits.genes.results"	"P521.SF12631v5"	"P521.SF12631v5"	"P521.SF12631"
"Tophat_P521SF12631v7.accepted_hits.genes.results"	"P521.SF12631v7"	"P521.SF12631v7"	"P521.SF12631"
"Tophat_P521SF12631v8.accepted_hits.genes.results"	"P521.SF12631v8"	"P521.SF12631v8"	"P521.SF12631"
